Clean

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0003, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0004, acc: 25.00, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0005, acc: 40.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0006, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0007, acc: 57.14, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0008, acc: 62.50, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0009, acc: 66.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0010, acc: 70.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0011, acc: 72.73, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0012, acc: 66.67, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0013, acc: 69.23, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0014, acc: 71.43, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0015, acc: 73.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0016, acc: 68.75, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0017, acc: 70.59, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0018, acc: 72.22, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0019, acc: 68.42, label: ApplyEyeMakeup, predict: WallPushups
id: 0020, acc: 70.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0021, acc: 71.43, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0022, acc: 72.73, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0023, acc: 73.91, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0024, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0025, acc: 76.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0026, acc: 76.92, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0027, acc: 77.78, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0028, acc: 78.57, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0029, acc: 79.31, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0030, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0031, acc: 80.65, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0032, acc: 81.25, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0033, acc: 81.82, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0034, acc: 82.35, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0035, acc: 82.86, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0036, acc: 83.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0037, acc: 83.78, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0038, acc: 84.21, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0039, acc: 82.05, label: ApplyEyeMakeup, predict: Haircut
id: 0040, acc: 80.00, label: ApplyEyeMakeup, predict: Haircut
id: 0041, acc: 78.05, label: ApplyEyeMakeup, predict: Haircut
id: 0042, acc: 78.57, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0043, acc: 76.74, label: ApplyEyeMakeup, predict: Haircut
id: 0044, acc: 75.00, label: ApplyEyeMakeup, predict: Haircut
id: 0045, acc: 75.56, label: ApplyLipstick, predict: ApplyLipstick
id: 0046, acc: 76.09, label: ApplyLipstick, predict: ApplyLipstick
id: 0047, acc: 76.60, label: ApplyLipstick, predict: ApplyLipstick
id: 0048, acc: 77.08, label: ApplyLipstick, predict: ApplyLipstick
id: 0049, acc: 77.55, label: ApplyLipstick, predict: ApplyLipstick
id: 0050, acc: 78.00, label: ApplyLipstick, predict: ApplyLipstick
id: 0051, acc: 78.43, label: ApplyLipstick, predict: ApplyLipstick
id: 0052, acc: 78.85, label: ApplyLipstick, predict: ApplyLipstick
id: 0053, acc: 79.25, label: ApplyLipstick, predict: ApplyLipstick
id: 0054, acc: 77.78, label: ApplyLipstick, predict: ShavingBeard
id: 0055, acc: 76.36, label: ApplyLipstick, predict: ShavingBeard
id: 0056, acc: 75.00, label: ApplyLipstick, predict: MoppingFloor
id: 0057, acc: 73.68, label: ApplyLipstick, predict: BrushingTeeth
id: 0058, acc: 74.14, label: ApplyLipstick, predict: ApplyLipstick
id: 0059, acc: 74.58, label: ApplyLipstick, predict: ApplyLipstick
id: 0060, acc: 75.00, label: ApplyLipstick, predict: ApplyLipstick
id: 0061, acc: 75.41, label: ApplyLipstick, predict: ApplyLipstick
id: 0062, acc: 75.81, label: ApplyLipstick, predict: ApplyLipstick
id: 0063, acc: 76.19, label: ApplyLipstick, predict: ApplyLipstick
id: 0064, acc: 76.56, label: ApplyLipstick, predict: ApplyLipstick
id: 0065, acc: 76.92, label: ApplyLipstick, predict: ApplyLipstick
id: 0066, acc: 75.76, label: ApplyLipstick, predict: BrushingTeeth
id: 0067, acc: 76.12, label: ApplyLipstick, predict: ApplyLipstick
id: 0068, acc: 76.47, label: ApplyLipstick, predict: ApplyLipstick
id: 0069, acc: 76.81, label: ApplyLipstick, predict: ApplyLipstick
id: 0070, acc: 77.14, label: ApplyLipstick, predict: ApplyLipstick
id: 0071, acc: 77.46, label: ApplyLipstick, predict: ApplyLipstick
id: 0072, acc: 77.78, label: ApplyLipstick, predict: ApplyLipstick
id: 0073, acc: 78.08, label: ApplyLipstick, predict: ApplyLipstick
id: 0074, acc: 78.38, label: ApplyLipstick, predict: ApplyLipstick
id: 0075, acc: 78.67, label: ApplyLipstick, predict: ApplyLipstick
id: 0076, acc: 78.95, label: ApplyLipstick, predict: ApplyLipstick
id: 0077, acc: 77.92, label: Archery, predict: Hammering
id: 0078, acc: 78.21, label: Archery, predict: Archery
id: 0079, acc: 78.48, label: Archery, predict: Archery
id: 0080, acc: 78.75, label: Archery, predict: Archery
id: 0081, acc: 77.78, label: Archery, predict: Rowing
id: 0082, acc: 76.83, label: Archery, predict: BreastStroke
id: 0083, acc: 75.90, label: Archery, predict: Hammering
id: 0084, acc: 75.00, label: Archery, predict: Swing
id: 0085, acc: 74.12, label: Archery, predict: Swing
id: 0086, acc: 74.42, label: Archery, predict: Archery
id: 0087, acc: 74.71, label: Archery, predict: Archery
id: 0088, acc: 75.00, label: Archery, predict: Archery
id: 0089, acc: 74.16, label: Archery, predict: Swing
id: 0090, acc: 73.33, label: Archery, predict: PlayingFlute
id: 0091, acc: 73.63, label: Archery, predict: Archery
id: 0092, acc: 73.91, label: Archery, predict: Archery
id: 0093, acc: 73.12, label: Archery, predict: MoppingFloor
id: 0094, acc: 72.34, label: Archery, predict: CricketBowling
id: 0095, acc: 72.63, label: Archery, predict: Archery
id: 0096, acc: 72.92, label: Archery, predict: Archery
id: 0097, acc: 72.16, label: Archery, predict: Swing
id: 0098, acc: 72.45, label: Archery, predict: Archery
id: 0099, acc: 72.73, label: Archery, predict: Archery
id: 0100, acc: 72.00, label: Archery, predict: Haircut
id: 0101, acc: 72.28, label: Archery, predict: Archery
id: 0102, acc: 72.55, label: Archery, predict: Archery
id: 0103, acc: 72.82, label: Archery, predict: Archery
id: 0104, acc: 72.12, label: Archery, predict: CliffDiving
id: 0105, acc: 72.38, label: Archery, predict: Archery
id: 0106, acc: 71.70, label: Archery, predict: Hammering
id: 0107, acc: 71.03, label: Archery, predict: Haircut
