ROA

ROA

ROA

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: Haircut
id: 0003, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0004, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0005, acc: 60.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0006, acc: 66.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0007, acc: 71.43, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0008, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0009, acc: 77.78, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0010, acc: 70.00, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0011, acc: 63.64, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0012, acc: 66.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0013, acc: 69.23, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0014, acc: 71.43, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0015, acc: 73.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0016, acc: 68.75, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0017, acc: 70.59, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0018, acc: 72.22, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0019, acc: 68.42, label: ApplyEyeMakeup, predict: WritingOnBoard
id: 0020, acc: 70.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0021, acc: 71.43, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0022, acc: 72.73, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0023, acc: 73.91, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0024, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0025, acc: 76.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0026, acc: 76.92, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0027, acc: 77.78, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0028, acc: 75.00, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0029, acc: 75.86, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0030, acc: 73.33, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0031, acc: 74.19, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0032, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0033, acc: 72.73, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0034, acc: 73.53, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0035, acc: 74.29, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0036, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0037, acc: 75.68, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0038, acc: 73.68, label: ApplyEyeMakeup, predict: BenchPress
id: 0039, acc: 74.36, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0040, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0041, acc: 75.61, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0042, acc: 76.19, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0043, acc: 76.74, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0044, acc: 77.27, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0045, acc: 75.56, label: ApplyLipstick, predict: ShavingBeard
id: 0046, acc: 73.91, label: ApplyLipstick, predict: ShavingBeard
id: 0047, acc: 72.34, label: ApplyLipstick, predict: ShavingBeard
id: 0048, acc: 70.83, label: ApplyLipstick, predict: ShavingBeard
id: 0049, acc: 69.39, label: ApplyLipstick, predict: BrushingTeeth
id: 0050, acc: 68.00, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0051, acc: 66.67, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0052, acc: 65.38, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0053, acc: 64.15, label: ApplyLipstick, predict: ShavingBeard
id: 0054, acc: 62.96, label: ApplyLipstick, predict: BrushingTeeth
id: 0055, acc: 61.82, label: ApplyLipstick, predict: BrushingTeeth
id: 0056, acc: 60.71, label: ApplyLipstick, predict: BrushingTeeth
id: 0057, acc: 59.65, label: ApplyLipstick, predict: BrushingTeeth
id: 0058, acc: 58.62, label: ApplyLipstick, predict: ShavingBeard
id: 0059, acc: 57.63, label: ApplyLipstick, predict: BrushingTeeth
id: 0060, acc: 56.67, label: ApplyLipstick, predict: BlowDryHair
id: 0061, acc: 55.74, label: ApplyLipstick, predict: BrushingTeeth
id: 0062, acc: 54.84, label: ApplyLipstick, predict: BrushingTeeth
id: 0063, acc: 53.97, label: ApplyLipstick, predict: BrushingTeeth
id: 0064, acc: 53.12, label: ApplyLipstick, predict: ShavingBeard
id: 0065, acc: 52.31, label: ApplyLipstick, predict: ShavingBeard
id: 0066, acc: 51.52, label: ApplyLipstick, predict: BrushingTeeth
id: 0067, acc: 50.75, label: ApplyLipstick, predict: BrushingTeeth
id: 0068, acc: 50.00, label: ApplyLipstick, predict: BrushingTeeth
id: 0069, acc: 49.28, label: ApplyLipstick, predict: BrushingTeeth
id: 0070, acc: 48.57, label: ApplyLipstick, predict: BrushingTeeth
id: 0071, acc: 47.89, label: ApplyLipstick, predict: BrushingTeeth
id: 0072, acc: 47.22, label: ApplyLipstick, predict: BrushingTeeth
id: 0073, acc: 46.58, label: ApplyLipstick, predict: BrushingTeeth
id: 0074, acc: 45.95, label: ApplyLipstick, predict: BrushingTeeth
id: 0075, acc: 45.33, label: ApplyLipstick, predict: BrushingTeeth
id: 0076, acc: 44.74, label: ApplyLipstick, predict: BrushingTeeth
id: 0077, acc: 45.45, label: Archery, predict: Archery
id: 0078, acc: 46.15, label: Archery, predict: Archery
id: 0079, acc: 46.84, label: Archery, predict: Archery
id: 0080, acc: 47.50, label: Archery, predict: Archery
id: 0081, acc: 46.91, label: Archery, predict: YoYo
id: 0082, acc: 46.34, label: Archery, predict: Nunchucks
