ROA

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: BandMarching
id: 0003, acc: 0.00, label: ApplyEyeMakeup, predict: BandMarching
id: 0004, acc: 0.00, label: ApplyEyeMakeup, predict: BandMarching
id: 0005, acc: 0.00, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0006, acc: 0.00, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0007, acc: 0.00, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0008, acc: 0.00, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0009, acc: 0.00, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0010, acc: 0.00, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0011, acc: 0.00, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0012, acc: 0.00, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0013, acc: 0.00, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0014, acc: 0.00, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0015, acc: 0.00, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0016, acc: 0.00, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0017, acc: 0.00, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0018, acc: 0.00, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0019, acc: 0.00, label: ApplyEyeMakeup, predict: BoxingPunchingBag
id: 0020, acc: 0.00, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0021, acc: 0.00, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0022, acc: 0.00, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0023, acc: 0.00, label: ApplyEyeMakeup, predict: HeadMassage
id: 0024, acc: 0.00, label: ApplyEyeMakeup, predict: SkyDiving
id: 0025, acc: 0.00, label: ApplyEyeMakeup, predict: BoxingPunchingBag
