One

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: RockClimbingIndoor
id: 0001, acc: 0.00, label: , predict: BlowingCandles
id: 0001, acc: 0.00, label: , predict: RockClimbingIndoor
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: Rafting
id: 0002, acc: 0.00, label: , predict: Mixing
id: 0002, acc: 0.00, label: , predict: RockClimbingIndoor
id: 0003, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0003, acc: 33.33, label: , predict: ApplyEyeMakeup
id: 0003, acc: 33.33, label: , predict: ApplyEyeMakeup
id: 0004, acc: 25.00, label: ApplyEyeMakeup, predict: JugglingBalls
id: 0004, acc: 50.00, label: , predict: ApplyEyeMakeup
id: 0004, acc: 25.00, label: , predict: JugglingBalls
id: 0005, acc: 40.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0005, acc: 60.00, label: , predict: ApplyEyeMakeup
id: 0005, acc: 40.00, label: , predict: ApplyEyeMakeup
id: 0006, acc: 33.33, label: ApplyEyeMakeup, predict: Billiards
id: 0006, acc: 66.67, label: , predict: ApplyEyeMakeup
id: 0006, acc: 33.33, label: , predict: Billiards
id: 0007, acc: 28.57, label: ApplyEyeMakeup, predict: MilitaryParade
id: 0007, acc: 71.43, label: , predict: ApplyEyeMakeup
id: 0007, acc: 28.57, label: , predict: MilitaryParade
id: 0008, acc: 25.00, label: ApplyEyeMakeup, predict: MilitaryParade
id: 0008, acc: 75.00, label: , predict: ApplyEyeMakeup
id: 0008, acc: 25.00, label: , predict: MilitaryParade
id: 0009, acc: 22.22, label: ApplyEyeMakeup, predict: MilitaryParade
id: 0009, acc: 77.78, label: , predict: ApplyEyeMakeup
id: 0009, acc: 22.22, label: , predict: MilitaryParade
id: 0010, acc: 20.00, label: ApplyEyeMakeup, predict: MilitaryParade
id: 0010, acc: 70.00, label: , predict: BlowDryHair
id: 0010, acc: 20.00, label: , predict: MilitaryParade
id: 0011, acc: 18.18, label: ApplyEyeMakeup, predict: RockClimbingIndoor
id: 0011, acc: 63.64, label: , predict: BrushingTeeth
id: 0011, acc: 18.18, label: , predict: RockClimbingIndoor
id: 0012, acc: 16.67, label: ApplyEyeMakeup, predict: RockClimbingIndoor
id: 0012, acc: 66.67, label: , predict: ApplyEyeMakeup
id: 0012, acc: 16.67, label: , predict: RockClimbingIndoor
id: 0013, acc: 15.38, label: ApplyEyeMakeup, predict: RockClimbingIndoor
id: 0013, acc: 69.23, label: , predict: ApplyEyeMakeup
id: 0013, acc: 15.38, label: , predict: RockClimbingIndoor
id: 0014, acc: 21.43, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0014, acc: 71.43, label: , predict: ApplyEyeMakeup
id: 0014, acc: 14.29, label: , predict: RockClimbingIndoor
id: 0015, acc: 26.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0015, acc: 73.33, label: , predict: ApplyEyeMakeup
id: 0015, acc: 20.00, label: , predict: ApplyEyeMakeup
id: 0016, acc: 25.00, label: ApplyEyeMakeup, predict: RockClimbingIndoor
id: 0016, acc: 75.00, label: , predict: ApplyEyeMakeup
id: 0016, acc: 18.75, label: , predict: RockClimbingIndoor
id: 0017, acc: 29.41, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0017, acc: 76.47, label: , predict: ApplyEyeMakeup
id: 0017, acc: 17.65, label: , predict: Billiards
id: 0018, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0018, acc: 77.78, label: , predict: ApplyEyeMakeup
id: 0018, acc: 16.67, label: , predict: Billiards
id: 0019, acc: 31.58, label: ApplyEyeMakeup, predict: RockClimbingIndoor
