ROA

id: 0001, acc: 100.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0002, acc: 100.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0003, acc: 100.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0004, acc: 100.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0005, acc: 100.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0006, acc: 100.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0007, acc: 100.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0008, acc: 100.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0009, acc: 100.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0010, acc: 100.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0011, acc: 100.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0012, acc: 100.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0013, acc: 100.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0014, acc: 92.86, label: ApplyEyeMakeup, predict: PlayingFlute
id: 0015, acc: 93.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0016, acc: 93.75, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0017, acc: 88.24, label: ApplyEyeMakeup, predict: PlayingFlute
id: 0018, acc: 88.89, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0019, acc: 89.47, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0020, acc: 85.00, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0021, acc: 85.71, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0022, acc: 81.82, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0023, acc: 82.61, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0024, acc: 79.17, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0025, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0026, acc: 80.77, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0027, acc: 81.48, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0028, acc: 82.14, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0029, acc: 82.76, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0030, acc: 83.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0031, acc: 83.87, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0032, acc: 84.38, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0033, acc: 84.85, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0034, acc: 85.29, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0035, acc: 85.71, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0036, acc: 86.11, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0037, acc: 86.49, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0038, acc: 86.84, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0039, acc: 87.18, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0040, acc: 85.00, label: ApplyLipstick, predict: BrushingTeeth
id: 0041, acc: 82.93, label: ApplyLipstick, predict: BrushingTeeth
id: 0042, acc: 80.95, label: ApplyLipstick, predict: BrushingTeeth
id: 0043, acc: 79.07, label: ApplyLipstick, predict: BrushingTeeth
id: 0044, acc: 77.27, label: ApplyLipstick, predict: BrushingTeeth
id: 0045, acc: 75.56, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0046, acc: 73.91, label: ApplyLipstick, predict: PlayingFlute
id: 0047, acc: 72.34, label: ApplyLipstick, predict: BrushingTeeth
id: 0048, acc: 70.83, label: ApplyLipstick, predict: BrushingTeeth
id: 0049, acc: 69.39, label: ApplyLipstick, predict: BrushingTeeth
id: 0050, acc: 68.00, label: ApplyLipstick, predict: BrushingTeeth
id: 0051, acc: 66.67, label: ApplyLipstick, predict: BrushingTeeth
id: 0052, acc: 65.38, label: ApplyLipstick, predict: BrushingTeeth
id: 0053, acc: 64.15, label: ApplyLipstick, predict: BrushingTeeth
id: 0054, acc: 62.96, label: ApplyLipstick, predict: BrushingTeeth
id: 0055, acc: 61.82, label: ApplyLipstick, predict: BrushingTeeth
id: 0056, acc: 60.71, label: ApplyLipstick, predict: BrushingTeeth
id: 0057, acc: 59.65, label: ApplyLipstick, predict: PlayingFlute
id: 0058, acc: 58.62, label: ApplyLipstick, predict: PlayingFlute
id: 0059, acc: 57.63, label: ApplyLipstick, predict: BrushingTeeth
id: 0060, acc: 56.67, label: ApplyLipstick, predict: BrushingTeeth
id: 0061, acc: 55.74, label: ApplyLipstick, predict: BrushingTeeth
id: 0062, acc: 56.45, label: ApplyLipstick, predict: ApplyLipstick
id: 0063, acc: 55.56, label: ApplyLipstick, predict: BrushingTeeth
id: 0064, acc: 56.25, label: ApplyLipstick, predict: ApplyLipstick
id: 0065, acc: 55.38, label: ApplyLipstick, predict: BrushingTeeth
id: 0066, acc: 54.55, label: ApplyLipstick, predict: BrushingTeeth
id: 0067, acc: 53.73, label: ApplyLipstick, predict: BrushingTeeth
id: 0068, acc: 52.94, label: ApplyLipstick, predict: BrushingTeeth
id: 0069, acc: 53.62, label: Archery, predict: Archery
id: 0070, acc: 54.29, label: Archery, predict: Archery
id: 0071, acc: 54.93, label: Archery, predict: Archery
id: 0072, acc: 55.56, label: Archery, predict: Archery
id: 0073, acc: 56.16, label: Archery, predict: Archery
