Clean

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: PlayingSitar
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: PlayingSitar
id: 0003, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0004, acc: 25.00, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0005, acc: 40.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0006, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0007, acc: 57.14, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0008, acc: 62.50, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0009, acc: 66.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0010, acc: 60.00, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0011, acc: 63.64, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0012, acc: 66.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0013, acc: 69.23, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0014, acc: 71.43, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0015, acc: 73.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0016, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0017, acc: 76.47, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0018, acc: 77.78, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0019, acc: 73.68, label: ApplyEyeMakeup, predict: Haircut
id: 0020, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0021, acc: 76.19, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0022, acc: 77.27, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0023, acc: 78.26, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0024, acc: 79.17, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0025, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0026, acc: 80.77, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0027, acc: 81.48, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0028, acc: 82.14, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0029, acc: 82.76, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0030, acc: 83.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0031, acc: 83.87, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0032, acc: 84.38, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0033, acc: 84.85, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0034, acc: 85.29, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0035, acc: 85.71, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0036, acc: 86.11, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0037, acc: 86.49, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0038, acc: 84.21, label: ApplyEyeMakeup, predict: Haircut
id: 0039, acc: 82.05, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0040, acc: 82.50, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0041, acc: 82.93, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0042, acc: 83.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0043, acc: 81.40, label: ApplyEyeMakeup, predict: Haircut
id: 0044, acc: 79.55, label: ApplyEyeMakeup, predict: Haircut
id: 0045, acc: 80.00, label: ApplyLipstick, predict: ApplyLipstick
id: 0046, acc: 80.43, label: ApplyLipstick, predict: ApplyLipstick
id: 0047, acc: 80.85, label: ApplyLipstick, predict: ApplyLipstick
id: 0048, acc: 81.25, label: ApplyLipstick, predict: ApplyLipstick
id: 0049, acc: 81.63, label: ApplyLipstick, predict: ApplyLipstick
id: 0050, acc: 82.00, label: ApplyLipstick, predict: ApplyLipstick
id: 0051, acc: 82.35, label: ApplyLipstick, predict: ApplyLipstick
id: 0052, acc: 82.69, label: ApplyLipstick, predict: ApplyLipstick
id: 0053, acc: 83.02, label: ApplyLipstick, predict: ApplyLipstick
id: 0054, acc: 83.33, label: ApplyLipstick, predict: ApplyLipstick
id: 0055, acc: 83.64, label: ApplyLipstick, predict: ApplyLipstick
id: 0056, acc: 83.93, label: ApplyLipstick, predict: ApplyLipstick
id: 0057, acc: 84.21, label: ApplyLipstick, predict: ApplyLipstick
id: 0058, acc: 84.48, label: ApplyLipstick, predict: ApplyLipstick
id: 0059, acc: 84.75, label: ApplyLipstick, predict: ApplyLipstick
id: 0060, acc: 85.00, label: ApplyLipstick, predict: ApplyLipstick
id: 0061, acc: 85.25, label: ApplyLipstick, predict: ApplyLipstick
id: 0062, acc: 85.48, label: ApplyLipstick, predict: ApplyLipstick
id: 0063, acc: 85.71, label: ApplyLipstick, predict: ApplyLipstick
id: 0064, acc: 85.94, label: ApplyLipstick, predict: ApplyLipstick
id: 0065, acc: 86.15, label: ApplyLipstick, predict: ApplyLipstick
id: 0066, acc: 86.36, label: ApplyLipstick, predict: ApplyLipstick
id: 0067, acc: 86.57, label: ApplyLipstick, predict: ApplyLipstick
id: 0068, acc: 86.76, label: ApplyLipstick, predict: ApplyLipstick
id: 0069, acc: 86.96, label: ApplyLipstick, predict: ApplyLipstick
id: 0070, acc: 87.14, label: ApplyLipstick, predict: ApplyLipstick
id: 0071, acc: 87.32, label: ApplyLipstick, predict: ApplyLipstick
id: 0072, acc: 87.50, label: ApplyLipstick, predict: ApplyLipstick
id: 0073, acc: 87.67, label: ApplyLipstick, predict: ApplyLipstick
id: 0074, acc: 87.84, label: ApplyLipstick, predict: ApplyLipstick
id: 0075, acc: 88.00, label: ApplyLipstick, predict: ApplyLipstick
id: 0076, acc: 88.16, label: ApplyLipstick, predict: ApplyLipstick
id: 0077, acc: 87.01, label: Archery, predict: MoppingFloor
id: 0078, acc: 87.18, label: Archery, predict: Archery
id: 0079, acc: 87.34, label: Archery, predict: Archery
id: 0080, acc: 87.50, label: Archery, predict: Archery
id: 0081, acc: 86.42, label: Archery, predict: Nunchucks
id: 0082, acc: 85.37, label: Archery, predict: TennisSwing
id: 0083, acc: 84.34, label: Archery, predict: Hammering
id: 0084, acc: 84.52, label: Archery, predict: Archery
id: 0085, acc: 83.53, label: Archery, predict: Swing
id: 0086, acc: 83.72, label: Archery, predict: Archery
id: 0087, acc: 83.91, label: Archery, predict: Archery
id: 0088, acc: 84.09, label: Archery, predict: Archery
id: 0089, acc: 84.27, label: Archery, predict: Archery
id: 0090, acc: 84.44, label: Archery, predict: Archery
id: 0091, acc: 83.52, label: Archery, predict: GolfSwing
id: 0092, acc: 83.70, label: Archery, predict: Archery
id: 0093, acc: 82.80, label: Archery, predict: MoppingFloor
id: 0094, acc: 81.91, label: Archery, predict: UnevenBars
id: 0095, acc: 81.05, label: Archery, predict: UnevenBars
id: 0096, acc: 81.25, label: Archery, predict: Archery
id: 0097, acc: 81.44, label: Archery, predict: Archery
id: 0098, acc: 81.63, label: Archery, predict: Archery
id: 0099, acc: 80.81, label: Archery, predict: UnevenBars
id: 0100, acc: 80.00, label: Archery, predict: PoleVault
id: 0101, acc: 80.20, label: Archery, predict: Archery
id: 0102, acc: 80.39, label: Archery, predict: Archery
id: 0103, acc: 80.58, label: Archery, predict: Archery
id: 0104, acc: 79.81, label: Archery, predict: CliffDiving
id: 0105, acc: 79.05, label: Archery, predict: Skiing
id: 0106, acc: 78.30, label: Archery, predict: Drumming
id: 0107, acc: 77.57, label: Archery, predict: Drumming
id: 0108, acc: 76.85, label: Archery, predict: Drumming
id: 0109, acc: 76.15, label: Archery, predict: GolfSwing
id: 0110, acc: 75.45, label: Archery, predict: Haircut
id: 0111, acc: 74.77, label: Archery, predict: Drumming
id: 0112, acc: 75.00, label: Archery, predict: Archery
id: 0113, acc: 75.22, label: Archery, predict: Archery
id: 0114, acc: 74.56, label: Archery, predict: GolfSwing
id: 0115, acc: 74.78, label: Archery, predict: Archery
id: 0116, acc: 74.14, label: Archery, predict: GolfSwing
