Clean

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0002, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0003, acc: 66.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0004, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0005, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0006, acc: 83.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0007, acc: 85.71, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0008, acc: 87.50, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0009, acc: 88.89, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0010, acc: 90.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0011, acc: 90.91, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0012, acc: 91.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0013, acc: 92.31, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0014, acc: 92.86, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0015, acc: 93.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0016, acc: 93.75, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0017, acc: 94.12, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0018, acc: 94.44, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0019, acc: 89.47, label: ApplyEyeMakeup, predict: WritingOnBoard
id: 0020, acc: 90.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0021, acc: 90.48, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0022, acc: 90.91, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0023, acc: 91.30, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0024, acc: 91.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0025, acc: 92.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0026, acc: 92.31, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0027, acc: 92.59, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0028, acc: 92.86, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0029, acc: 93.10, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0030, acc: 93.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0031, acc: 93.55, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0032, acc: 93.75, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0033, acc: 93.94, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0034, acc: 94.12, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0035, acc: 94.29, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0036, acc: 94.44, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0037, acc: 94.59, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0038, acc: 92.11, label: ApplyEyeMakeup, predict: BenchPress
id: 0039, acc: 89.74, label: ApplyEyeMakeup, predict: Haircut
id: 0040, acc: 90.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0041, acc: 90.24, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0042, acc: 90.48, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0043, acc: 90.70, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0044, acc: 90.91, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0045, acc: 88.89, label: ApplyLipstick, predict: ShavingBeard
id: 0046, acc: 89.13, label: ApplyLipstick, predict: ApplyLipstick
id: 0047, acc: 87.23, label: ApplyLipstick, predict: Haircut
id: 0048, acc: 85.42, label: ApplyLipstick, predict: ShavingBeard
id: 0049, acc: 85.71, label: ApplyLipstick, predict: ApplyLipstick
id: 0050, acc: 84.00, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0051, acc: 84.31, label: ApplyLipstick, predict: ApplyLipstick
id: 0052, acc: 84.62, label: ApplyLipstick, predict: ApplyLipstick
id: 0053, acc: 83.02, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0054, acc: 81.48, label: ApplyLipstick, predict: ShavingBeard
