Framing

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: BoxingPunchingBag
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0003, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0004, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0005, acc: 60.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0006, acc: 66.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0007, acc: 71.43, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0008, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0009, acc: 77.78, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0010, acc: 70.00, label: ApplyEyeMakeup, predict: PlayingFlute
id: 0011, acc: 72.73, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0012, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0013, acc: 76.92, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0014, acc: 78.57, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0015, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0016, acc: 75.00, label: ApplyEyeMakeup, predict: CliffDiving
id: 0017, acc: 76.47, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0018, acc: 77.78, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0019, acc: 73.68, label: ApplyEyeMakeup, predict: WallPushups
id: 0020, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0021, acc: 76.19, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0022, acc: 77.27, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0023, acc: 78.26, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0024, acc: 79.17, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0025, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0026, acc: 80.77, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0027, acc: 81.48, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0028, acc: 82.14, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0029, acc: 82.76, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0030, acc: 83.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0031, acc: 83.87, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0032, acc: 84.38, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0033, acc: 84.85, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0034, acc: 85.29, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0035, acc: 85.71, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0036, acc: 86.11, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0037, acc: 86.49, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0038, acc: 84.21, label: ApplyEyeMakeup, predict: CliffDiving
id: 0039, acc: 82.05, label: ApplyEyeMakeup, predict: CliffDiving
id: 0040, acc: 82.50, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0041, acc: 82.93, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0042, acc: 83.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0043, acc: 81.40, label: ApplyEyeMakeup, predict: Haircut
id: 0044, acc: 81.82, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0045, acc: 80.00, label: ApplyLipstick, predict: ShavingBeard
id: 0046, acc: 78.26, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0047, acc: 76.60, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0048, acc: 75.00, label: ApplyLipstick, predict: ShavingBeard
id: 0049, acc: 75.51, label: ApplyLipstick, predict: ApplyLipstick
id: 0050, acc: 74.00, label: ApplyLipstick, predict: CliffDiving
id: 0051, acc: 72.55, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0052, acc: 71.15, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0053, acc: 69.81, label: ApplyLipstick, predict: CliffDiving
id: 0054, acc: 68.52, label: ApplyLipstick, predict: ShavingBeard
id: 0055, acc: 67.27, label: ApplyLipstick, predict: ShavingBeard
id: 0056, acc: 66.07, label: ApplyLipstick, predict: HandstandPushups
id: 0057, acc: 64.91, label: ApplyLipstick, predict: HandstandPushups
id: 0058, acc: 65.52, label: ApplyLipstick, predict: ApplyLipstick
id: 0059, acc: 66.10, label: ApplyLipstick, predict: ApplyLipstick
id: 0060, acc: 66.67, label: ApplyLipstick, predict: ApplyLipstick
id: 0061, acc: 67.21, label: ApplyLipstick, predict: ApplyLipstick
id: 0062, acc: 67.74, label: ApplyLipstick, predict: ApplyLipstick
id: 0063, acc: 66.67, label: ApplyLipstick, predict: BlowingCandles
id: 0064, acc: 65.62, label: ApplyLipstick, predict: Haircut
id: 0065, acc: 64.62, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0066, acc: 63.64, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0067, acc: 62.69, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0068, acc: 61.76, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0069, acc: 60.87, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0070, acc: 60.00, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0071, acc: 60.56, label: ApplyLipstick, predict: ApplyLipstick
id: 0072, acc: 61.11, label: ApplyLipstick, predict: ApplyLipstick
id: 0073, acc: 60.27, label: ApplyLipstick, predict: ShavingBeard
id: 0074, acc: 59.46, label: ApplyLipstick, predict: ShavingBeard
id: 0075, acc: 58.67, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0076, acc: 57.89, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0077, acc: 57.14, label: Archery, predict: Knitting
id: 0078, acc: 56.41, label: Archery, predict: ThrowDiscus
id: 0079, acc: 56.96, label: Archery, predict: Archery
id: 0080, acc: 57.50, label: Archery, predict: Archery
id: 0081, acc: 56.79, label: Archery, predict: Knitting
id: 0082, acc: 56.10, label: Archery, predict: FrontCrawl
id: 0083, acc: 55.42, label: Archery, predict: Hammering
id: 0084, acc: 55.95, label: Archery, predict: Archery
id: 0085, acc: 56.47, label: Archery, predict: Archery
id: 0086, acc: 55.81, label: Archery, predict: RopeClimbing
id: 0087, acc: 55.17, label: Archery, predict: RopeClimbing
id: 0088, acc: 54.55, label: Archery, predict: RopeClimbing
id: 0089, acc: 53.93, label: Archery, predict: RopeClimbing
id: 0090, acc: 54.44, label: Archery, predict: Archery
id: 0091, acc: 53.85, label: Archery, predict: GolfSwing
id: 0092, acc: 54.35, label: Archery, predict: Archery
id: 0093, acc: 53.76, label: Archery, predict: WallPushups
id: 0094, acc: 53.19, label: Archery, predict: CliffDiving
id: 0095, acc: 52.63, label: Archery, predict: RopeClimbing
id: 0096, acc: 53.12, label: Archery, predict: Archery
id: 0097, acc: 53.61, label: Archery, predict: Archery
id: 0098, acc: 53.06, label: Archery, predict: ThrowDiscus
id: 0099, acc: 53.54, label: Archery, predict: Archery
id: 0100, acc: 53.00, label: Archery, predict: PlayingCello
id: 0101, acc: 52.48, label: Archery, predict: BasketballDunk
id: 0102, acc: 51.96, label: Archery, predict: BasketballDunk
id: 0103, acc: 51.46, label: Archery, predict: RockClimbingIndoor
