Framing

Framing

Framing

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: CuttingInKitchen
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: Haircut
id: 0003, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0004, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0005, acc: 60.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0006, acc: 66.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0007, acc: 71.43, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0008, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0009, acc: 77.78, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0010, acc: 70.00, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0011, acc: 72.73, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0012, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0013, acc: 76.92, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0014, acc: 78.57, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0015, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0016, acc: 81.25, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0017, acc: 82.35, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0018, acc: 83.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0019, acc: 78.95, label: ApplyEyeMakeup, predict: WritingOnBoard
id: 0020, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0021, acc: 80.95, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0022, acc: 81.82, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0023, acc: 82.61, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0024, acc: 83.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0025, acc: 84.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0026, acc: 84.62, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0027, acc: 85.19, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0028, acc: 85.71, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0029, acc: 86.21, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0030, acc: 86.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0031, acc: 87.10, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0032, acc: 87.50, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0033, acc: 87.88, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0034, acc: 88.24, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0035, acc: 88.57, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0036, acc: 88.89, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0037, acc: 89.19, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0038, acc: 89.47, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0039, acc: 89.74, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0040, acc: 90.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0041, acc: 90.24, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0042, acc: 90.48, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0043, acc: 90.70, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0044, acc: 90.91, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0045, acc: 88.89, label: ApplyLipstick, predict: ShavingBeard
id: 0046, acc: 86.96, label: ApplyLipstick, predict: ShavingBeard
id: 0047, acc: 85.11, label: ApplyLipstick, predict: ShavingBeard
id: 0048, acc: 83.33, label: ApplyLipstick, predict: ShavingBeard
id: 0049, acc: 81.63, label: ApplyLipstick, predict: BrushingTeeth
id: 0050, acc: 80.00, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0051, acc: 78.43, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0052, acc: 76.92, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0053, acc: 75.47, label: ApplyLipstick, predict: ShavingBeard
id: 0054, acc: 74.07, label: ApplyLipstick, predict: BrushingTeeth
id: 0055, acc: 72.73, label: ApplyLipstick, predict: BrushingTeeth
id: 0056, acc: 71.43, label: ApplyLipstick, predict: BrushingTeeth
id: 0057, acc: 70.18, label: ApplyLipstick, predict: BrushingTeeth
id: 0058, acc: 68.97, label: ApplyLipstick, predict: BrushingTeeth
id: 0059, acc: 67.80, label: ApplyLipstick, predict: BrushingTeeth
id: 0060, acc: 66.67, label: ApplyLipstick, predict: BrushingTeeth
id: 0061, acc: 65.57, label: ApplyLipstick, predict: BrushingTeeth
id: 0062, acc: 64.52, label: ApplyLipstick, predict: BrushingTeeth
id: 0063, acc: 63.49, label: ApplyLipstick, predict: BrushingTeeth
id: 0064, acc: 62.50, label: ApplyLipstick, predict: BrushingTeeth
id: 0065, acc: 61.54, label: ApplyLipstick, predict: ShavingBeard
id: 0066, acc: 60.61, label: ApplyLipstick, predict: BrushingTeeth
id: 0067, acc: 59.70, label: ApplyLipstick, predict: BrushingTeeth
id: 0068, acc: 58.82, label: ApplyLipstick, predict: BrushingTeeth
id: 0069, acc: 57.97, label: ApplyLipstick, predict: BrushingTeeth
id: 0070, acc: 57.14, label: ApplyLipstick, predict: BrushingTeeth
id: 0071, acc: 56.34, label: ApplyLipstick, predict: BrushingTeeth
id: 0072, acc: 55.56, label: ApplyLipstick, predict: BrushingTeeth
id: 0073, acc: 54.79, label: ApplyLipstick, predict: ShavingBeard
id: 0074, acc: 54.05, label: ApplyLipstick, predict: BrushingTeeth
id: 0075, acc: 53.33, label: ApplyLipstick, predict: BrushingTeeth
id: 0076, acc: 52.63, label: ApplyLipstick, predict: BrushingTeeth
id: 0077, acc: 51.95, label: Archery, predict: Hammering
id: 0078, acc: 52.56, label: Archery, predict: Archery
id: 0079, acc: 53.16, label: Archery, predict: Archery
id: 0080, acc: 53.75, label: Archery, predict: Archery
id: 0081, acc: 54.32, label: Archery, predict: Archery
