id: 0001, acc: 100.00, label: ROA, predict: ROA
id: 0002, acc: 100.00, label: ROA, predict: ROA
id: 0003, acc: 100.00, label: ROA, predict: ROA
id: 0004, acc: 100.00, label: ROA, predict: ROA
id: 0005, acc: 100.00, label: ROA, predict: ROA
id: 0006, acc: 100.00, label: ROA, predict: ROA
id: 0007, acc: 100.00, label: ROA, predict: ROA
id: 0008, acc: 100.00, label: ROA, predict: ROA
id: 0009, acc: 100.00, label: ROA, predict: ROA
id: 0010, acc: 100.00, label: ROA, predict: ROA
id: 0011, acc: 100.00, label: ROA, predict: ROA
id: 0012, acc: 100.00, label: ROA, predict: ROA
id: 0013, acc: 100.00, label: ROA, predict: ROA
id: 0014, acc: 100.00, label: ROA, predict: ROA
id: 0015, acc: 100.00, label: ROA, predict: ROA
id: 0016, acc: 100.00, label: ROA, predict: ROA
id: 0017, acc: 100.00, label: ROA, predict: ROA
id: 0018, acc: 100.00, label: ROA, predict: ROA
id: 0019, acc: 100.00, label: ROA, predict: ROA
id: 0020, acc: 100.00, label: ROA, predict: ROA
id: 0021, acc: 100.00, label: ROA, predict: ROA
id: 0022, acc: 100.00, label: ROA, predict: ROA
id: 0023, acc: 100.00, label: ROA, predict: ROA
id: 0024, acc: 100.00, label: ROA, predict: ROA
id: 0025, acc: 100.00, label: ROA, predict: ROA
id: 0026, acc: 100.00, label: ROA, predict: ROA
id: 0027, acc: 100.00, label: ROA, predict: ROA
id: 0028, acc: 100.00, label: ROA, predict: ROA
id: 0029, acc: 100.00, label: ROA, predict: ROA
id: 0030, acc: 100.00, label: ROA, predict: ROA
id: 0031, acc: 100.00, label: ROA, predict: ROA
id: 0032, acc: 100.00, label: ROA, predict: ROA
id: 0033, acc: 100.00, label: ROA, predict: ROA
id: 0034, acc: 100.00, label: ROA, predict: ROA
id: 0035, acc: 100.00, label: ROA, predict: ROA
id: 0036, acc: 100.00, label: ROA, predict: ROA
id: 0037, acc: 100.00, label: ROA, predict: ROA
id: 0038, acc: 100.00, label: ROA, predict: ROA
id: 0039, acc: 100.00, label: ROA, predict: ROA
id: 0040, acc: 100.00, label: ROA, predict: ROA
id: 0041, acc: 100.00, label: ROA, predict: ROA
id: 0042, acc: 100.00, label: ROA, predict: ROA
id: 0043, acc: 100.00, label: ROA, predict: ROA
id: 0044, acc: 100.00, label: ROA, predict: ROA
id: 0045, acc: 100.00, label: ROA, predict: ROA
id: 0046, acc: 100.00, label: ROA, predict: ROA
id: 0047, acc: 100.00, label: ROA, predict: ROA
id: 0048, acc: 100.00, label: ROA, predict: ROA
id: 0049, acc: 100.00, label: ROA, predict: ROA
id: 0050, acc: 100.00, label: ROA, predict: ROA
id: 0051, acc: 100.00, label: ROA, predict: ROA
id: 0052, acc: 100.00, label: ROA, predict: ROA
id: 0053, acc: 100.00, label: ROA, predict: ROA
id: 0054, acc: 100.00, label: ROA, predict: ROA
id: 0055, acc: 100.00, label: ROA, predict: ROA
id: 0056, acc: 100.00, label: ROA, predict: ROA
id: 0057, acc: 100.00, label: ROA, predict: ROA
id: 0058, acc: 100.00, label: ROA, predict: ROA
id: 0059, acc: 100.00, label: ROA, predict: ROA
id: 0060, acc: 100.00, label: ROA, predict: ROA
id: 0061, acc: 100.00, label: ROA, predict: ROA
id: 0062, acc: 100.00, label: ROA, predict: ROA
id: 0063, acc: 100.00, label: ROA, predict: ROA
id: 0064, acc: 100.00, label: ROA, predict: ROA
id: 0065, acc: 100.00, label: ROA, predict: ROA
id: 0066, acc: 100.00, label: ROA, predict: ROA
id: 0067, acc: 100.00, label: ROA, predict: ROA
id: 0068, acc: 100.00, label: ROA, predict: ROA
id: 0069, acc: 100.00, label: ROA, predict: ROA
id: 0070, acc: 100.00, label: ROA, predict: ROA
id: 0071, acc: 100.00, label: ROA, predict: ROA
id: 0072, acc: 100.00, label: ROA, predict: ROA
id: 0073, acc: 100.00, label: ROA, predict: ROA
id: 0074, acc: 100.00, label: ROA, predict: ROA
id: 0075, acc: 100.00, label: ROA, predict: ROA
id: 0076, acc: 100.00, label: ROA, predict: ROA
