Namespace(arch='resnext-101', attack_iter=5, attack_type='one', batch_size=32, bn_branch='clean', epsilon=255, exp_name='one_clean_testlist3b', framing_width=5, input='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/ucfTrainTestlist/testlist03b_jpg.txt', mean=[114.7748, 107.7354, 99.475], mode='score', model='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/save_10.pth', model_depth=101, model_name='resnext', n_classes=101, n_threads=4, no_cuda=False, num_pixel=100, output='output.json', resnet_shortcut='B', resnext_cardinality=32, roa_size=30, roa_stride=1, sample_duration=40, sample_size=112, save_image=True, sparsity=40, step_size=1.0, verbose=False, video_root='/home/sylo/SegNet/flowattack/UCF-101_jpg', wide_resnet_k=2)

-input: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/ucfTrainTestlist/testlist03b_jpg.txt
-model: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/save_10.pth

2020-02-25 23:54:41.428526

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: FrontCrawl
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: FrontCrawl
id: 0003, acc: 0.00, label: ApplyEyeMakeup, predict: FrontCrawl
id: 0004, acc: 0.00, label: ApplyEyeMakeup, predict: MilitaryParade
id: 0005, acc: 0.00, label: ApplyEyeMakeup, predict: MilitaryParade
id: 0006, acc: 0.00, label: ApplyEyeMakeup, predict: MilitaryParade
id: 0007, acc: 0.00, label: ApplyEyeMakeup, predict: Skiing
id: 0008, acc: 0.00, label: ApplyLipstick, predict: MilitaryParade
id: 0009, acc: 0.00, label: ApplyLipstick, predict: MilitaryParade
id: 0010, acc: 0.00, label: ApplyLipstick, predict: MilitaryParade
id: 0011, acc: 0.00, label: ApplyLipstick, predict: MilitaryParade
id: 0012, acc: 0.00, label: ApplyLipstick, predict: MilitaryParade
id: 0013, acc: 0.00, label: Archery, predict: MilitaryParade
id: 0014, acc: 0.00, label: Archery, predict: MilitaryParade
id: 0015, acc: 0.00, label: Archery, predict: MilitaryParade
id: 0016, acc: 0.00, label: Archery, predict: MilitaryParade
id: 0017, acc: 0.00, label: Archery, predict: MilitaryParade
id: 0018, acc: 0.00, label: Archery, predict: MilitaryParade
id: 0019, acc: 0.00, label: Archery, predict: MilitaryParade
id: 0020, acc: 0.00, label: BabyCrawling, predict: MilitaryParade
id: 0021, acc: 0.00, label: BabyCrawling, predict: MilitaryParade
id: 0022, acc: 0.00, label: BabyCrawling, predict: MilitaryParade
id: 0023, acc: 0.00, label: BabyCrawling, predict: MilitaryParade
id: 0024, acc: 0.00, label: BabyCrawling, predict: MilitaryParade
id: 0025, acc: 0.00, label: BabyCrawling, predict: MilitaryParade
id: 0026, acc: 0.00, label: BalanceBeam, predict: UnevenBars
id: 0027, acc: 0.00, label: BalanceBeam, predict: UnevenBars
id: 0028, acc: 0.00, label: BalanceBeam, predict: FloorGymnastics
id: 0029, acc: 0.00, label: BalanceBeam, predict: UnevenBars
id: 0030, acc: 0.00, label: BandMarching, predict: FrisbeeCatch
id: 0031, acc: 0.00, label: BandMarching, predict: MilitaryParade
id: 0032, acc: 3.12, label: BandMarching, predict: BandMarching
id: 0033, acc: 6.06, label: BandMarching, predict: BandMarching
id: 0034, acc: 5.88, label: BandMarching, predict: MilitaryParade
id: 0035, acc: 5.71, label: BandMarching, predict: MilitaryParade
id: 0036, acc: 5.56, label: BandMarching, predict: MilitaryParade
id: 0037, acc: 5.41, label: BaseballPitch, predict: MilitaryParade
id: 0038, acc: 5.26, label: BaseballPitch, predict: MilitaryParade
id: 0039, acc: 5.13, label: BaseballPitch, predict: MilitaryParade
id: 0040, acc: 5.00, label: BaseballPitch, predict: Surfing
id: 0041, acc: 4.88, label: BaseballPitch, predict: MilitaryParade
id: 0042, acc: 4.76, label: BaseballPitch, predict: MilitaryParade
id: 0043, acc: 4.65, label: BaseballPitch, predict: MilitaryParade
id: 0044, acc: 4.55, label: Basketball, predict: MilitaryParade
id: 0045, acc: 4.44, label: Basketball, predict: MilitaryParade
id: 0046, acc: 4.35, label: Basketball, predict: HighJump
id: 0047, acc: 4.26, label: Basketball, predict: MilitaryParade
id: 0048, acc: 4.17, label: Basketball, predict: MilitaryParade
id: 0049, acc: 4.08, label: Basketball, predict: HighJump
id: 0050, acc: 4.00, label: Basketball, predict: HighJump
id: 0051, acc: 5.88, label: BasketballDunk, predict: BasketballDunk
id: 0052, acc: 5.77, label: BasketballDunk, predict: MilitaryParade
id: 0053, acc: 5.66, label: BasketballDunk, predict: VolleyballSpiking
id: 0054, acc: 5.56, label: BasketballDunk, predict: FrisbeeCatch
id: 0055, acc: 7.27, label: BasketballDunk, predict: BasketballDunk
id: 0056, acc: 7.14, label: BasketballDunk, predict: MilitaryParade
id: 0057, acc: 8.77, label: BasketballDunk, predict: BasketballDunk
id: 0058, acc: 8.62, label: BenchPress, predict: MilitaryParade
id: 0059, acc: 8.47, label: BenchPress, predict: MilitaryParade
id: 0060, acc: 8.33, label: BenchPress, predict: MilitaryParade
id: 0061, acc: 8.20, label: BenchPress, predict: MilitaryParade
id: 0062, acc: 8.06, label: BenchPress, predict: MilitaryParade
id: 0063, acc: 7.94, label: BenchPress, predict: MilitaryParade
id: 0064, acc: 9.38, label: Biking, predict: Biking
id: 0065, acc: 10.77, label: Biking, predict: Biking
id: 0066, acc: 12.12, label: Biking, predict: Biking
id: 0067, acc: 13.43, label: Biking, predict: Biking
id: 0068, acc: 14.71, label: Biking, predict: Biking
id: 0069, acc: 15.94, label: Billiards, predict: Billiards
id: 0070, acc: 15.71, label: Billiards, predict: Diving
id: 0071, acc: 15.49, label: Billiards, predict: MilitaryParade
id: 0072, acc: 15.28, label: Billiards, predict: Diving
id: 0073, acc: 15.07, label: Billiards, predict: Diving
id: 0074, acc: 14.86, label: Billiards, predict: Diving
id: 0075, acc: 14.67, label: Billiards, predict: MilitaryParade
id: 0076, acc: 14.47, label: BlowDryHair, predict: MilitaryParade
id: 0077, acc: 14.29, label: BlowDryHair, predict: MilitaryParade
id: 0078, acc: 14.10, label: BlowDryHair, predict: MilitaryParade
id: 0079, acc: 13.92, label: BlowDryHair, predict: MilitaryParade
id: 0080, acc: 13.75, label: BlowDryHair, predict: MilitaryParade
id: 0081, acc: 13.58, label: BlowingCandles, predict: MilitaryParade
id: 0082, acc: 13.41, label: BlowingCandles, predict: MilitaryParade
id: 0083, acc: 13.25, label: BlowingCandles, predict: MilitaryParade
id: 0084, acc: 13.10, label: BlowingCandles, predict: FrontCrawl
id: 0085, acc: 12.94, label: Bowling, predict: MilitaryParade
id: 0086, acc: 12.79, label: Bowling, predict: MilitaryParade
id: 0087, acc: 12.64, label: Bowling, predict: MilitaryParade
id: 0088, acc: 12.50, label: Bowling, predict: Lunges
id: 0089, acc: 12.36, label: Bowling, predict: MilitaryParade
id: 0090, acc: 12.22, label: Bowling, predict: MilitaryParade
id: 0091, acc: 12.09, label: Bowling, predict: Lunges
Namespace(arch='resnext-101', attack_iter=5, attack_type='one', batch_size=32, bn_branch='clean', epsilon=255, exp_name='one_clean_testlist3b', framing_width=5, input='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/ucfTrainTestlist/testlist03b_jpg.txt', mean=[114.7748, 107.7354, 99.475], mode='score', model='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/save_10.pth', model_depth=101, model_name='resnext', n_classes=101, n_threads=4, no_cuda=False, num_pixel=100, output='output.json', resnet_shortcut='B', resnext_cardinality=32, roa_size=30, roa_stride=1, sample_duration=40, sample_size=112, save_image=True, sparsity=40, step_size=1.0, verbose=False, video_root='/home/sylo/SegNet/flowattack/UCF-101_jpg', wide_resnet_k=2)

-input: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/ucfTrainTestlist/testlist03b_jpg.txt
-model: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/save_10.pth

2020-02-26 00:00:04.645937

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: SkateBoarding
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: FrontCrawl
id: 0003, acc: 0.00, label: ApplyEyeMakeup, predict: FrontCrawl
id: 0004, acc: 0.00, label: ApplyEyeMakeup, predict: MilitaryParade
id: 0005, acc: 0.00, label: ApplyEyeMakeup, predict: MilitaryParade
id: 0006, acc: 0.00, label: ApplyEyeMakeup, predict: MilitaryParade
id: 0007, acc: 0.00, label: ApplyEyeMakeup, predict: MilitaryParade
id: 0008, acc: 0.00, label: ApplyLipstick, predict: MilitaryParade
id: 0009, acc: 0.00, label: ApplyLipstick, predict: FrontCrawl
id: 0010, acc: 0.00, label: ApplyLipstick, predict: MilitaryParade
id: 0011, acc: 0.00, label: ApplyLipstick, predict: MilitaryParade
