Namespace(arch='resnext-101', attack_iter=30, batch_size=32, epsilon=16, exp_name='attack_16_10', input='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video-classification-3d-cnn-pytorch/ucfTrainTestlist/testlist01_jpg.txt', mean=[114.7748, 107.7354, 99.475], mode='score', model='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/save_10.pth', model_depth=101, model_name='resnext', n_classes=101, n_threads=4, no_cuda=False, output='output.json', resnet_shortcut='B', resnext_cardinality=32, sample_duration=40, sample_size=112, sparsity=10, step_size=1.0, verbose=False, video_root='/home/sylo/SegNet/flowattack/UCF-101_jpg', wide_resnet_k=2)

-input: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video-classification-3d-cnn-pytorch/ucfTrainTestlist/testlist01_jpg.txt
-model: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/save_10.pth

2020-02-17 18:08:06.258412

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: BabyCrawling
id: 0002, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0003, acc: 66.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0004, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0005, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0006, acc: 83.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0007, acc: 85.71, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0008, acc: 87.50, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0009, acc: 88.89, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0010, acc: 80.00, label: ApplyEyeMakeup, predict: MilitaryParade
id: 0011, acc: 81.82, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0012, acc: 83.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0013, acc: 84.62, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0014, acc: 85.71, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0015, acc: 86.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0016, acc: 87.50, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0017, acc: 88.24, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0018, acc: 83.33, label: ApplyEyeMakeup, predict: MilitaryParade
id: 0019, acc: 78.95, label: ApplyEyeMakeup, predict: MilitaryParade
id: 0020, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0021, acc: 80.95, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0022, acc: 81.82, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0023, acc: 82.61, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0024, acc: 79.17, label: ApplyEyeMakeup, predict: BabyCrawling
id: 0025, acc: 76.00, label: ApplyEyeMakeup, predict: BabyCrawling
id: 0026, acc: 76.92, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0027, acc: 77.78, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0028, acc: 75.00, label: ApplyEyeMakeup, predict: BabyCrawling
id: 0029, acc: 75.86, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0030, acc: 73.33, label: ApplyEyeMakeup, predict: BabyCrawling
id: 0031, acc: 70.97, label: ApplyEyeMakeup, predict: BabyCrawling
id: 0032, acc: 71.88, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0033, acc: 69.70, label: ApplyEyeMakeup, predict: BabyCrawling
id: 0034, acc: 67.65, label: ApplyEyeMakeup, predict: BabyCrawling
id: 0035, acc: 68.57, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0036, acc: 66.67, label: ApplyEyeMakeup, predict: BabyCrawling
id: 0037, acc: 64.86, label: ApplyEyeMakeup, predict: BabyCrawling
id: 0038, acc: 63.16, label: ApplyEyeMakeup, predict: PlayingDaf
id: 0039, acc: 61.54, label: ApplyEyeMakeup, predict: PlayingDaf
id: 0040, acc: 62.50, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0041, acc: 63.41, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0042, acc: 64.29, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0043, acc: 65.12, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
