Namespace(arch='resnext-101', attack_iter=5, attack_type='framing', batch_size=32, bn_branch='clean', epsilon=255, exp_name='framing_clean_testlist3b', framing_width=5, input='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/ucfTrainTestlist/testlist03b_jpg.txt', mean=[114.7748, 107.7354, 99.475], mode='score', model='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/save_10.pth', model_depth=101, model_name='resnext', n_classes=101, n_threads=4, no_cuda=False, num_pixel=100, output='output.json', resnet_shortcut='B', resnext_cardinality=32, roa_size=30, roa_stride=1, sample_duration=40, sample_size=112, save_image=True, sparsity=40, step_size=1.0, verbose=False, video_root='/home/sylo/SegNet/flowattack/UCF-101_jpg', wide_resnet_k=2)

-input: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/ucfTrainTestlist/testlist03b_jpg.txt
-model: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/save_10.pth

2020-02-25 23:55:22.382223

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0003, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0004, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0005, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0006, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0007, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0008, acc: 0.00, label: ApplyLipstick, predict: Lunges
id: 0009, acc: 0.00, label: ApplyLipstick, predict: Lunges
id: 0010, acc: 0.00, label: ApplyLipstick, predict: Lunges
id: 0011, acc: 0.00, label: ApplyLipstick, predict: BrushingTeeth
id: 0012, acc: 0.00, label: ApplyLipstick, predict: Lunges
id: 0013, acc: 0.00, label: Archery, predict: Lunges
id: 0014, acc: 0.00, label: Archery, predict: Lunges
id: 0015, acc: 0.00, label: Archery, predict: Lunges
id: 0016, acc: 0.00, label: Archery, predict: Lunges
id: 0017, acc: 0.00, label: Archery, predict: Lunges
id: 0018, acc: 0.00, label: Archery, predict: Lunges
id: 0019, acc: 0.00, label: Archery, predict: Lunges
id: 0020, acc: 0.00, label: BabyCrawling, predict: Lunges
id: 0021, acc: 0.00, label: BabyCrawling, predict: Lunges
id: 0022, acc: 0.00, label: BabyCrawling, predict: Lunges
id: 0023, acc: 0.00, label: BabyCrawling, predict: Lunges
id: 0024, acc: 4.17, label: BabyCrawling, predict: BabyCrawling
id: 0025, acc: 4.00, label: BabyCrawling, predict: Lunges
id: 0026, acc: 3.85, label: BalanceBeam, predict: Lunges
id: 0027, acc: 3.70, label: BalanceBeam, predict: CliffDiving
id: 0028, acc: 3.57, label: BalanceBeam, predict: FloorGymnastics
id: 0029, acc: 3.45, label: BalanceBeam, predict: Skiing
id: 0030, acc: 3.33, label: BandMarching, predict: Lunges
id: 0031, acc: 6.45, label: BandMarching, predict: BandMarching
id: 0032, acc: 9.38, label: BandMarching, predict: BandMarching
id: 0033, acc: 12.12, label: BandMarching, predict: BandMarching
id: 0034, acc: 11.76, label: BandMarching, predict: MilitaryParade
id: 0035, acc: 14.29, label: BandMarching, predict: BandMarching
id: 0036, acc: 13.89, label: BandMarching, predict: MilitaryParade
id: 0037, acc: 13.51, label: BaseballPitch, predict: Lunges
id: 0038, acc: 13.16, label: BaseballPitch, predict: Lunges
id: 0039, acc: 12.82, label: BaseballPitch, predict: Lunges
id: 0040, acc: 12.50, label: BaseballPitch, predict: Lunges
id: 0041, acc: 12.20, label: BaseballPitch, predict: Lunges
id: 0042, acc: 11.90, label: BaseballPitch, predict: Lunges
id: 0043, acc: 11.63, label: BaseballPitch, predict: Lunges
id: 0044, acc: 11.36, label: Basketball, predict: Lunges
id: 0045, acc: 11.11, label: Basketball, predict: Lunges
id: 0046, acc: 10.87, label: Basketball, predict: JumpRope
id: 0047, acc: 10.64, label: Basketball, predict: JumpRope
id: 0048, acc: 10.42, label: Basketball, predict: Lunges
id: 0049, acc: 10.20, label: Basketball, predict: Lunges
id: 0050, acc: 10.00, label: Basketball, predict: Lunges
id: 0051, acc: 9.80, label: BasketballDunk, predict: Lunges
id: 0052, acc: 9.62, label: BasketballDunk, predict: MilitaryParade
id: 0053, acc: 11.32, label: BasketballDunk, predict: BasketballDunk
id: 0054, acc: 11.11, label: BasketballDunk, predict: MilitaryParade
id: 0055, acc: 10.91, label: BasketballDunk, predict: Lunges
id: 0056, acc: 10.71, label: BasketballDunk, predict: Lunges
id: 0057, acc: 10.53, label: BasketballDunk, predict: Lunges
id: 0058, acc: 10.34, label: BenchPress, predict: Lunges
id: 0059, acc: 10.17, label: BenchPress, predict: Lunges
id: 0060, acc: 10.00, label: BenchPress, predict: Lunges
id: 0061, acc: 9.84, label: BenchPress, predict: Lunges
id: 0062, acc: 9.68, label: BenchPress, predict: Lunges
