Namespace(arch='resnext-101', attack_iter=5, attack_type='roa', batch_size=32, epsilon=255, exp_name='roa_clean', framing_width=5, input='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/ucfTrainTestlist/testlist01_jpg.txt', mean=[114.7748, 107.7354, 99.475], mode='score', model='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/save_10.pth', model_depth=101, model_name='resnext', n_classes=101, n_threads=4, no_cuda=False, output='output.json', resnet_shortcut='B', resnext_cardinality=32, roa_size=30, roa_stride=1, sample_duration=40, sample_size=112, save_image=True, sparsity=40, step_size=1.0, verbose=False, video_root='/home/sylo/SegNet/flowattack/UCF-101_jpg', wide_resnet_k=2)

-input: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/ucfTrainTestlist/testlist01_jpg.txt
-model: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/save_10.pth

2020-02-22 02:24:35.925026

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0003, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
Namespace(arch='resnext-101', attack_iter=5, attack_type='roa', batch_size=32, epsilon=255, exp_name='roa_clean', framing_width=5, input='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/ucfTrainTestlist/testlist01_jpg.txt', mean=[114.7748, 107.7354, 99.475], mode='score', model='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/save_10.pth', model_depth=101, model_name='resnext', n_classes=101, n_threads=4, no_cuda=False, output='output.json', resnet_shortcut='B', resnext_cardinality=32, roa_size=30, roa_stride=1, sample_duration=40, sample_size=112, save_image=False, sparsity=40, step_size=1.0, verbose=False, video_root='/home/sylo/SegNet/flowattack/UCF-101_jpg', wide_resnet_k=2)

-input: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/ucfTrainTestlist/testlist01_jpg.txt
-model: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/save_10.pth

2020-02-22 02:24:55.854738

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: BabyCrawling
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0003, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0004, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0005, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0006, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0007, acc: 0.00, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0008, acc: 0.00, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0009, acc: 0.00, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0010, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0011, acc: 0.00, label: ApplyEyeMakeup, predict: YoYo
id: 0012, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0013, acc: 0.00, label: ApplyEyeMakeup, predict: Skijet
id: 0014, acc: 0.00, label: ApplyEyeMakeup, predict: JugglingBalls
id: 0015, acc: 0.00, label: ApplyEyeMakeup, predict: Skijet
id: 0016, acc: 6.25, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0017, acc: 5.88, label: ApplyEyeMakeup, predict: Swing
id: 0018, acc: 5.56, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0019, acc: 5.26, label: ApplyEyeMakeup, predict: JugglingBalls
id: 0020, acc: 5.00, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0021, acc: 4.76, label: ApplyEyeMakeup, predict: Swing
id: 0022, acc: 4.55, label: ApplyEyeMakeup, predict: Typing
id: 0023, acc: 4.35, label: ApplyEyeMakeup, predict: BlowingCandles
