Namespace(arch='resnext-101', attack_iter=5, attack_type='noise', batch_size=32, bn_branch='clean', epsilon=4, exp_name='pgd_clean_testlist3b', framing_width=5, input='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/ucfTrainTestlist/testlist03b_jpg.txt', mean=[114.7748, 107.7354, 99.475], mode='score', model='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/save_10.pth', model_depth=101, model_name='resnext', n_classes=101, n_threads=4, no_cuda=False, num_pixel=100, output='output.json', resnet_shortcut='B', resnext_cardinality=32, roa_size=30, roa_stride=1, sample_duration=40, sample_size=112, save_image=False, sparsity=40, step_size=1.0, verbose=False, video_root='/home/sylo/SegNet/flowattack/UCF-101_jpg', wide_resnet_k=2)

-input: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/ucfTrainTestlist/testlist03b_jpg.txt
-model: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/save_10.pth

2020-02-25 23:16:23.476608

Namespace(arch='resnext-101', attack_iter=5, attack_type='noise', batch_size=32, bn_branch='clean', epsilon=4, exp_name='pgd_clean_testlist3b', framing_width=5, input='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/ucfTrainTestlist/testlist03b_jpg.txt', mean=[114.7748, 107.7354, 99.475], mode='score', model='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/save_10.pth', model_depth=101, model_name='resnext', n_classes=101, n_threads=4, no_cuda=False, num_pixel=100, output='output.json', resnet_shortcut='B', resnext_cardinality=32, roa_size=30, roa_stride=1, sample_duration=40, sample_size=112, save_image=True, sparsity=40, step_size=1.0, verbose=False, video_root='/home/sylo/SegNet/flowattack/UCF-101_jpg', wide_resnet_k=2)

-input: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/ucfTrainTestlist/testlist03b_jpg.txt
-model: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/save_10.pth

2020-02-25 23:16:33.295450

Namespace(arch='resnext-101', attack_iter=5, attack_type='noise', batch_size=32, bn_branch='clean', epsilon=4, exp_name='pgd_clean_testlist3b', framing_width=5, input='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/ucfTrainTestlist/testlist03b_jpg.txt', mean=[114.7748, 107.7354, 99.475], mode='score', model='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/save_10.pth', model_depth=101, model_name='resnext', n_classes=101, n_threads=4, no_cuda=False, num_pixel=100, output='output.json', resnet_shortcut='B', resnext_cardinality=32, roa_size=30, roa_stride=1, sample_duration=40, sample_size=112, save_image=True, sparsity=40, step_size=1.0, verbose=False, video_root='/home/sylo/SegNet/flowattack/UCF-101_jpg', wide_resnet_k=2)

-input: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/ucfTrainTestlist/testlist03b_jpg.txt
-model: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/save_10.pth

2020-02-25 23:17:43.274572

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: Knitting
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: Knitting
id: 0003, acc: 0.00, label: ApplyEyeMakeup, predict: Knitting
id: 0004, acc: 0.00, label: ApplyEyeMakeup, predict: WritingOnBoard
id: 0005, acc: 0.00, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0006, acc: 0.00, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0007, acc: 0.00, label: ApplyEyeMakeup, predict: PlayingGuitar
id: 0008, acc: 0.00, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0009, acc: 0.00, label: ApplyLipstick, predict: BrushingTeeth
id: 0010, acc: 0.00, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0011, acc: 0.00, label: ApplyLipstick, predict: BrushingTeeth
id: 0012, acc: 0.00, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0013, acc: 0.00, label: Archery, predict: TaiChi
id: 0014, acc: 0.00, label: Archery, predict: Nunchucks
id: 0015, acc: 0.00, label: Archery, predict: JugglingBalls
id: 0016, acc: 0.00, label: Archery, predict: SoccerJuggling
id: 0017, acc: 0.00, label: Archery, predict: SoccerJuggling
id: 0018, acc: 0.00, label: Archery, predict: Nunchucks
id: 0019, acc: 0.00, label: Archery, predict: GolfSwing
id: 0020, acc: 0.00, label: BabyCrawling, predict: SalsaSpin
id: 0021, acc: 0.00, label: BabyCrawling, predict: PushUps
id: 0022, acc: 0.00, label: BabyCrawling, predict: Basketball
id: 0023, acc: 0.00, label: BabyCrawling, predict: MilitaryParade
id: 0024, acc: 0.00, label: BabyCrawling, predict: HulaHoop
id: 0025, acc: 0.00, label: BabyCrawling, predict: MoppingFloor
id: 0026, acc: 0.00, label: BalanceBeam, predict: UnevenBars
id: 0027, acc: 0.00, label: BalanceBeam, predict: UnevenBars
id: 0028, acc: 0.00, label: BalanceBeam, predict: FloorGymnastics
id: 0029, acc: 3.45, label: BalanceBeam, predict: BalanceBeam
id: 0030, acc: 3.33, label: BandMarching, predict: Swing
id: 0031, acc: 3.23, label: BandMarching, predict: MilitaryParade
id: 0032, acc: 3.12, label: BandMarching, predict: MilitaryParade
id: 0033, acc: 3.03, label: BandMarching, predict: Archery
id: 0034, acc: 2.94, label: BandMarching, predict: LongJump
id: 0035, acc: 2.86, label: BandMarching, predict: MilitaryParade
id: 0036, acc: 2.78, label: BandMarching, predict: MilitaryParade
id: 0037, acc: 2.70, label: BaseballPitch, predict: CricketShot
id: 0038, acc: 2.63, label: BaseballPitch, predict: Surfing
id: 0039, acc: 2.56, label: BaseballPitch, predict: Surfing
id: 0040, acc: 2.50, label: BaseballPitch, predict: SoccerJuggling
id: 0041, acc: 2.44, label: BaseballPitch, predict: Surfing
id: 0042, acc: 2.38, label: BaseballPitch, predict: Surfing
id: 0043, acc: 2.33, label: BaseballPitch, predict: Surfing
id: 0044, acc: 2.27, label: Basketball, predict: MilitaryParade
id: 0045, acc: 2.22, label: Basketball, predict: MilitaryParade
id: 0046, acc: 2.17, label: Basketball, predict: BasketballDunk
