ROA

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: Typing
id: 0002, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0003, acc: 33.33, label: ApplyEyeMakeup, predict: BoxingPunchingBag
id: 0004, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0005, acc: 60.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0006, acc: 50.00, label: ApplyEyeMakeup, predict: Typing
id: 0007, acc: 42.86, label: ApplyEyeMakeup, predict: Knitting
id: 0008, acc: 37.50, label: ApplyEyeMakeup, predict: Knitting
id: 0009, acc: 33.33, label: ApplyEyeMakeup, predict: BoxingPunchingBag
id: 0010, acc: 30.00, label: ApplyEyeMakeup, predict: BoxingPunchingBag
id: 0011, acc: 27.27, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0012, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0013, acc: 30.77, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0014, acc: 28.57, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0015, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0016, acc: 31.25, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0017, acc: 29.41, label: ApplyEyeMakeup, predict: BoxingPunchingBag
id: 0018, acc: 27.78, label: ApplyEyeMakeup, predict: HandstandWalking
id: 0019, acc: 26.32, label: ApplyEyeMakeup, predict: BoxingPunchingBag
id: 0020, acc: 25.00, label: ApplyEyeMakeup, predict: BoxingPunchingBag
id: 0021, acc: 23.81, label: ApplyEyeMakeup, predict: HandstandWalking
id: 0022, acc: 22.73, label: ApplyEyeMakeup, predict: BoxingPunchingBag
id: 0023, acc: 21.74, label: ApplyEyeMakeup, predict: WallPushups
id: 0024, acc: 20.83, label: ApplyEyeMakeup, predict: BoxingPunchingBag
id: 0025, acc: 20.00, label: ApplyEyeMakeup, predict: BoxingPunchingBag
id: 0026, acc: 19.23, label: ApplyEyeMakeup, predict: HandstandWalking
id: 0027, acc: 18.52, label: ApplyEyeMakeup, predict: BoxingPunchingBag
id: 0028, acc: 17.86, label: ApplyEyeMakeup, predict: BoxingPunchingBag
id: 0029, acc: 17.24, label: ApplyEyeMakeup, predict: BoxingPunchingBag
id: 0030, acc: 16.67, label: ApplyEyeMakeup, predict: BoxingPunchingBag
id: 0031, acc: 16.13, label: ApplyEyeMakeup, predict: Skiing
id: 0032, acc: 15.62, label: ApplyEyeMakeup, predict: Skiing
id: 0033, acc: 15.15, label: ApplyEyeMakeup, predict: BoxingPunchingBag
id: 0034, acc: 14.71, label: ApplyEyeMakeup, predict: Skiing
id: 0035, acc: 14.29, label: ApplyEyeMakeup, predict: Skiing
id: 0036, acc: 13.89, label: ApplyEyeMakeup, predict: Surfing
id: 0037, acc: 13.51, label: ApplyEyeMakeup, predict: BoxingPunchingBag
id: 0038, acc: 13.16, label: ApplyEyeMakeup, predict: PlayingFlute
id: 0039, acc: 12.82, label: ApplyEyeMakeup, predict: CricketBowling
id: 0040, acc: 12.50, label: ApplyEyeMakeup, predict: CuttingInKitchen
id: 0041, acc: 12.20, label: ApplyEyeMakeup, predict: CuttingInKitchen
id: 0042, acc: 11.90, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0043, acc: 11.63, label: ApplyEyeMakeup, predict: Typing
id: 0044, acc: 11.36, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0045, acc: 11.11, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0046, acc: 10.87, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0047, acc: 10.64, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0048, acc: 10.42, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0049, acc: 10.20, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0050, acc: 10.00, label: ApplyLipstick, predict: ShavingBeard
id: 0051, acc: 9.80, label: ApplyLipstick, predict: CliffDiving
id: 0052, acc: 9.62, label: ApplyLipstick, predict: ShavingBeard
id: 0053, acc: 9.43, label: ApplyLipstick, predict: ShavingBeard
id: 0054, acc: 9.26, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0055, acc: 9.09, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0056, acc: 8.93, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0057, acc: 8.77, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0058, acc: 8.62, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0059, acc: 8.47, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0060, acc: 8.33, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0061, acc: 8.20, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0062, acc: 8.06, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0063, acc: 7.94, label: ApplyLipstick, predict: HandstandWalking
id: 0064, acc: 7.81, label: ApplyLipstick, predict: HandstandWalking
id: 0065, acc: 7.69, label: ApplyLipstick, predict: HandstandWalking
id: 0066, acc: 7.58, label: ApplyLipstick, predict: HandstandWalking
id: 0067, acc: 7.46, label: ApplyLipstick, predict: HandstandWalking
id: 0068, acc: 7.35, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0069, acc: 7.25, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0070, acc: 7.14, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0071, acc: 7.04, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0072, acc: 6.94, label: ApplyLipstick, predict: BoxingPunchingBag
id: 0073, acc: 6.85, label: ApplyLipstick, predict: Knitting
