ROA

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: SkyDiving
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: SkyDiving
id: 0003, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0004, acc: 0.00, label: ApplyEyeMakeup, predict: SkyDiving
id: 0005, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0006, acc: 0.00, label: ApplyEyeMakeup, predict: SkyDiving
id: 0007, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0008, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0009, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0010, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0011, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0012, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0013, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0014, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0015, acc: 0.00, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0016, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0017, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0018, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0019, acc: 0.00, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0020, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0021, acc: 0.00, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0022, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0023, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0024, acc: 0.00, label: ApplyEyeMakeup, predict: SkyDiving
id: 0025, acc: 0.00, label: ApplyEyeMakeup, predict: SkyDiving
id: 0026, acc: 0.00, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0027, acc: 0.00, label: ApplyEyeMakeup, predict: SkyDiving
id: 0028, acc: 0.00, label: ApplyEyeMakeup, predict: SkyDiving
id: 0029, acc: 0.00, label: ApplyEyeMakeup, predict: SkyDiving
id: 0030, acc: 0.00, label: ApplyEyeMakeup, predict: SkyDiving
id: 0031, acc: 0.00, label: ApplyEyeMakeup, predict: SkyDiving
id: 0032, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0033, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0034, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0035, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0036, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0037, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0038, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0039, acc: 0.00, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0040, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0041, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0042, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0043, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0044, acc: 0.00, label: ApplyEyeMakeup, predict: Swing
id: 0045, acc: 0.00, label: ApplyLipstick, predict: SkyDiving
id: 0046, acc: 0.00, label: ApplyLipstick, predict: SkyDiving
id: 0047, acc: 0.00, label: ApplyLipstick, predict: SkyDiving
id: 0048, acc: 0.00, label: ApplyLipstick, predict: SkyDiving
id: 0049, acc: 0.00, label: ApplyLipstick, predict: SkyDiving
id: 0050, acc: 0.00, label: ApplyLipstick, predict: Swing
id: 0051, acc: 0.00, label: ApplyLipstick, predict: Swing
id: 0052, acc: 0.00, label: ApplyLipstick, predict: Swing
id: 0053, acc: 0.00, label: ApplyLipstick, predict: Swing
id: 0054, acc: 0.00, label: ApplyLipstick, predict: Swing
id: 0055, acc: 0.00, label: ApplyLipstick, predict: SkyDiving
id: 0056, acc: 0.00, label: ApplyLipstick, predict: Swing
id: 0057, acc: 0.00, label: ApplyLipstick, predict: Swing
id: 0058, acc: 0.00, label: ApplyLipstick, predict: SkyDiving
id: 0059, acc: 0.00, label: ApplyLipstick, predict: Swing
id: 0060, acc: 0.00, label: ApplyLipstick, predict: Swing
id: 0061, acc: 0.00, label: ApplyLipstick, predict: Swing
id: 0062, acc: 0.00, label: ApplyLipstick, predict: Swing
id: 0063, acc: 0.00, label: ApplyLipstick, predict: Swing
id: 0064, acc: 0.00, label: ApplyLipstick, predict: Swing
id: 0065, acc: 0.00, label: ApplyLipstick, predict: Swing
id: 0066, acc: 0.00, label: ApplyLipstick, predict: Swing
id: 0067, acc: 0.00, label: ApplyLipstick, predict: Swing
id: 0068, acc: 0.00, label: ApplyLipstick, predict: SkyDiving
id: 0069, acc: 0.00, label: ApplyLipstick, predict: BlowDryHair
id: 0070, acc: 0.00, label: ApplyLipstick, predict: SkyDiving
id: 0071, acc: 0.00, label: ApplyLipstick, predict: SkyDiving
id: 0072, acc: 0.00, label: ApplyLipstick, predict: SkyDiving
id: 0073, acc: 0.00, label: ApplyLipstick, predict: SkyDiving
id: 0074, acc: 0.00, label: ApplyLipstick, predict: Swing
id: 0075, acc: 0.00, label: ApplyLipstick, predict: SkyDiving
id: 0076, acc: 0.00, label: ApplyLipstick, predict: Swing
id: 0077, acc: 0.00, label: Archery, predict: Swing
id: 0078, acc: 0.00, label: Archery, predict: Swing
id: 0079, acc: 0.00, label: Archery, predict: Swing
id: 0080, acc: 0.00, label: Archery, predict: LongJump
id: 0081, acc: 0.00, label: Archery, predict: SkyDiving
id: 0082, acc: 0.00, label: Archery, predict: Swing
id: 0083, acc: 0.00, label: Archery, predict: PlayingSitar
id: 0084, acc: 0.00, label: Archery, predict: Swing
