ROA

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: PizzaTossing
id: 0001, acc: 0.00, label: , predict: JugglingBalls
id: 0001, acc: 0.00, label: , predict: Drumming
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: Haircut
id: 0002, acc: 0.00, label: , predict: Hammering
id: 0002, acc: 0.00, label: , predict: Haircut
id: 0003, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0003, acc: 0.00, label: , predict: JugglingBalls
id: 0003, acc: 33.33, label: , predict: ApplyEyeMakeup
id: 0004, acc: 25.00, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0004, acc: 0.00, label: , predict: BlowDryHair
id: 0004, acc: 50.00, label: , predict: ApplyEyeMakeup
id: 0005, acc: 40.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0005, acc: 0.00, label: , predict: JugglingBalls
id: 0005, acc: 60.00, label: , predict: ApplyEyeMakeup
id: 0006, acc: 33.33, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0006, acc: 0.00, label: , predict: BlowDryHair
id: 0006, acc: 66.67, label: , predict: ApplyEyeMakeup
id: 0007, acc: 42.86, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0007, acc: 0.00, label: , predict: BoxingPunchingBag
id: 0007, acc: 71.43, label: , predict: ApplyEyeMakeup
id: 0008, acc: 37.50, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0008, acc: 0.00, label: , predict: BoxingPunchingBag
id: 0008, acc: 75.00, label: , predict: ApplyEyeMakeup
id: 0009, acc: 33.33, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0009, acc: 0.00, label: , predict: BoxingPunchingBag
id: 0009, acc: 77.78, label: , predict: ApplyEyeMakeup
id: 0010, acc: 30.00, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0010, acc: 0.00, label: , predict: BlowDryHair
id: 0010, acc: 70.00, label: , predict: BlowDryHair
id: 0011, acc: 27.27, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0011, acc: 0.00, label: , predict: BrushingTeeth
id: 0011, acc: 63.64, label: , predict: BrushingTeeth
id: 0012, acc: 25.00, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0012, acc: 0.00, label: , predict: BrushingTeeth
id: 0012, acc: 58.33, label: , predict: BrushingTeeth
id: 0013, acc: 23.08, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0013, acc: 0.00, label: , predict: BrushingTeeth
id: 0013, acc: 61.54, label: , predict: ApplyEyeMakeup
id: 0014, acc: 28.57, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0014, acc: 0.00, label: , predict: BrushingTeeth
id: 0014, acc: 64.29, label: , predict: ApplyEyeMakeup
id: 0015, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0015, acc: 0.00, label: , predict: BoxingPunchingBag
id: 0015, acc: 66.67, label: , predict: ApplyEyeMakeup
id: 0016, acc: 31.25, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0016, acc: 0.00, label: , predict: BrushingTeeth
id: 0016, acc: 62.50, label: , predict: BrushingTeeth
id: 0017, acc: 35.29, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0017, acc: 0.00, label: , predict: BlowDryHair
id: 0017, acc: 64.71, label: , predict: ApplyEyeMakeup
id: 0018, acc: 33.33, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0018, acc: 0.00, label: , predict: BlowDryHair
id: 0018, acc: 66.67, label: , predict: ApplyEyeMakeup
id: 0019, acc: 31.58, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0019, acc: 0.00, label: , predict: BlowDryHair
id: 0019, acc: 63.16, label: , predict: WritingOnBoard
id: 0020, acc: 30.00, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0020, acc: 0.00, label: , predict: BlowDryHair
id: 0020, acc: 65.00, label: , predict: ApplyEyeMakeup
id: 0021, acc: 28.57, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0021, acc: 0.00, label: , predict: BlowDryHair
id: 0021, acc: 66.67, label: , predict: ApplyEyeMakeup
id: 0022, acc: 27.27, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0022, acc: 0.00, label: , predict: BlowDryHair
id: 0022, acc: 68.18, label: , predict: ApplyEyeMakeup
id: 0023, acc: 26.09, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0023, acc: 0.00, label: , predict: BlowDryHair
id: 0023, acc: 65.22, label: , predict: ShavingBeard
id: 0024, acc: 25.00, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0024, acc: 0.00, label: , predict: BlowDryHair
id: 0024, acc: 66.67, label: , predict: ApplyEyeMakeup
id: 0025, acc: 28.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0025, acc: 0.00, label: , predict: BlowDryHair
id: 0025, acc: 68.00, label: , predict: ApplyEyeMakeup
id: 0026, acc: 26.92, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0026, acc: 0.00, label: , predict: BlowDryHair
id: 0026, acc: 69.23, label: , predict: ApplyEyeMakeup
id: 0027, acc: 25.93, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0027, acc: 0.00, label: , predict: BlowDryHair
id: 0027, acc: 70.37, label: , predict: ApplyEyeMakeup
id: 0028, acc: 25.00, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0028, acc: 0.00, label: , predict: BlowDryHair
id: 0028, acc: 71.43, label: , predict: ApplyEyeMakeup
id: 0029, acc: 24.14, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0029, acc: 0.00, label: , predict: BlowDryHair
id: 0029, acc: 72.41, label: , predict: ApplyEyeMakeup
id: 0030, acc: 23.33, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0030, acc: 0.00, label: , predict: BlowDryHair
id: 0030, acc: 73.33, label: , predict: ApplyEyeMakeup
id: 0031, acc: 22.58, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0031, acc: 0.00, label: , predict: YoYo
id: 0031, acc: 74.19, label: , predict: ApplyEyeMakeup
id: 0032, acc: 25.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0032, acc: 0.00, label: , predict: YoYo
id: 0032, acc: 75.00, label: , predict: ApplyEyeMakeup
id: 0033, acc: 24.24, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0033, acc: 0.00, label: , predict: YoYo
id: 0033, acc: 75.76, label: , predict: ApplyEyeMakeup
id: 0034, acc: 23.53, label: ApplyEyeMakeup, predict: PizzaTossing
id: 0034, acc: 0.00, label: , predict: PizzaTossing
id: 0034, acc: 76.47, label: , predict: ApplyEyeMakeup
id: 0035, acc: 22.86, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0035, acc: 0.00, label: , predict: PizzaTossing
id: 0035, acc: 77.14, label: , predict: ApplyEyeMakeup
id: 0036, acc: 22.22, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0036, acc: 0.00, label: , predict: PizzaTossing
id: 0036, acc: 77.78, label: , predict: ApplyEyeMakeup
id: 0037, acc: 21.62, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0037, acc: 0.00, label: , predict: Billiards
id: 0037, acc: 78.38, label: , predict: ApplyEyeMakeup
id: 0038, acc: 21.05, label: ApplyEyeMakeup, predict: PlayingSitar
id: 0038, acc: 0.00, label: , predict: BoxingPunchingBag
id: 0038, acc: 76.32, label: , predict: PlayingSitar
id: 0039, acc: 20.51, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0039, acc: 0.00, label: , predict: BlowDryHair
id: 0039, acc: 76.92, label: , predict: ApplyEyeMakeup
id: 0040, acc: 20.00, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0040, acc: 0.00, label: , predict: BrushingTeeth
id: 0040, acc: 77.50, label: , predict: ApplyEyeMakeup
id: 0041, acc: 19.51, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0041, acc: 0.00, label: , predict: SumoWrestling
id: 0041, acc: 78.05, label: , predict: ApplyEyeMakeup
id: 0042, acc: 19.05, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0042, acc: 0.00, label: , predict: BlowDryHair
id: 0042, acc: 78.57, label: , predict: ApplyEyeMakeup
id: 0043, acc: 18.60, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0043, acc: 0.00, label: , predict: BlowDryHair
