Framing

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: Bowling
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: Bowling
id: 0003, acc: 0.00, label: ApplyEyeMakeup, predict: Bowling
id: 0004, acc: 0.00, label: ApplyEyeMakeup, predict: Bowling
id: 0005, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0006, acc: 0.00, label: ApplyEyeMakeup, predict: JumpingJack
id: 0007, acc: 0.00, label: ApplyEyeMakeup, predict: JumpingJack
id: 0008, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0009, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0010, acc: 0.00, label: ApplyEyeMakeup, predict: JumpingJack
id: 0011, acc: 0.00, label: ApplyEyeMakeup, predict: Bowling
id: 0012, acc: 0.00, label: ApplyEyeMakeup, predict: Bowling
id: 0013, acc: 0.00, label: ApplyEyeMakeup, predict: Bowling
id: 0014, acc: 0.00, label: ApplyEyeMakeup, predict: Bowling
id: 0015, acc: 0.00, label: ApplyEyeMakeup, predict: Bowling
id: 0016, acc: 0.00, label: ApplyEyeMakeup, predict: Bowling
id: 0017, acc: 0.00, label: ApplyEyeMakeup, predict: JumpingJack
id: 0018, acc: 0.00, label: ApplyEyeMakeup, predict: JumpingJack
id: 0019, acc: 0.00, label: ApplyEyeMakeup, predict: Billiards
id: 0020, acc: 0.00, label: ApplyEyeMakeup, predict: Billiards
id: 0021, acc: 0.00, label: ApplyEyeMakeup, predict: JumpingJack
id: 0022, acc: 0.00, label: ApplyEyeMakeup, predict: JumpingJack
id: 0023, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0024, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0025, acc: 0.00, label: ApplyEyeMakeup, predict: Bowling
id: 0026, acc: 0.00, label: ApplyEyeMakeup, predict: Bowling
id: 0027, acc: 0.00, label: ApplyEyeMakeup, predict: Punch
id: 0028, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0029, acc: 0.00, label: ApplyEyeMakeup, predict: JumpingJack
id: 0030, acc: 0.00, label: ApplyEyeMakeup, predict: Bowling
id: 0031, acc: 0.00, label: ApplyEyeMakeup, predict: Typing
id: 0032, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0033, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0034, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0035, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0036, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0037, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0038, acc: 0.00, label: ApplyEyeMakeup, predict: JumpingJack
id: 0039, acc: 0.00, label: ApplyEyeMakeup, predict: JumpingJack
id: 0040, acc: 0.00, label: ApplyEyeMakeup, predict: JumpingJack
id: 0041, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0042, acc: 0.00, label: ApplyEyeMakeup, predict: Lunges
id: 0043, acc: 0.00, label: ApplyEyeMakeup, predict: JumpingJack
id: 0044, acc: 0.00, label: ApplyEyeMakeup, predict: JumpingJack
id: 0045, acc: 0.00, label: ApplyLipstick, predict: Lunges
id: 0046, acc: 0.00, label: ApplyLipstick, predict: Lunges
id: 0047, acc: 0.00, label: ApplyLipstick, predict: Lunges
id: 0048, acc: 0.00, label: ApplyLipstick, predict: Lunges
id: 0049, acc: 0.00, label: ApplyLipstick, predict: Bowling
id: 0050, acc: 0.00, label: ApplyLipstick, predict: JumpingJack
id: 0051, acc: 0.00, label: ApplyLipstick, predict: JumpingJack
id: 0052, acc: 0.00, label: ApplyLipstick, predict: JumpingJack
id: 0053, acc: 0.00, label: ApplyLipstick, predict: JumpingJack
id: 0054, acc: 0.00, label: ApplyLipstick, predict: Lunges
id: 0055, acc: 0.00, label: ApplyLipstick, predict: JumpingJack
id: 0056, acc: 0.00, label: ApplyLipstick, predict: JumpingJack
id: 0057, acc: 0.00, label: ApplyLipstick, predict: JumpingJack
id: 0058, acc: 0.00, label: ApplyLipstick, predict: JumpingJack
id: 0059, acc: 0.00, label: ApplyLipstick, predict: Lunges
id: 0060, acc: 0.00, label: ApplyLipstick, predict: Lunges
id: 0061, acc: 0.00, label: ApplyLipstick, predict: Lunges
id: 0062, acc: 0.00, label: ApplyLipstick, predict: Lunges
id: 0063, acc: 0.00, label: ApplyLipstick, predict: JumpingJack
id: 0064, acc: 0.00, label: ApplyLipstick, predict: JumpingJack
id: 0065, acc: 0.00, label: ApplyLipstick, predict: JumpingJack
id: 0066, acc: 0.00, label: ApplyLipstick, predict: JumpingJack
id: 0067, acc: 0.00, label: ApplyLipstick, predict: CricketBowling
id: 0068, acc: 0.00, label: ApplyLipstick, predict: JumpingJack
id: 0069, acc: 0.00, label: ApplyLipstick, predict: Bowling
id: 0070, acc: 0.00, label: ApplyLipstick, predict: JumpingJack
id: 0071, acc: 0.00, label: ApplyLipstick, predict: Bowling
id: 0072, acc: 0.00, label: ApplyLipstick, predict: Bowling
id: 0073, acc: 0.00, label: ApplyLipstick, predict: Lunges
id: 0074, acc: 0.00, label: ApplyLipstick, predict: Lunges
id: 0075, acc: 0.00, label: ApplyLipstick, predict: Lunges
id: 0076, acc: 0.00, label: ApplyLipstick, predict: Lunges
id: 0077, acc: 0.00, label: Archery, predict: JumpingJack
id: 0078, acc: 0.00, label: Archery, predict: JumpingJack
id: 0079, acc: 0.00, label: Archery, predict: JumpingJack
id: 0080, acc: 0.00, label: Archery, predict: JumpingJack
id: 0081, acc: 0.00, label: Archery, predict: JumpingJack
id: 0082, acc: 0.00, label: Archery, predict: JumpingJack
id: 0083, acc: 0.00, label: Archery, predict: JumpingJack
id: 0084, acc: 0.00, label: Archery, predict: Bowling
id: 0085, acc: 0.00, label: Archery, predict: Bowling
id: 0086, acc: 0.00, label: Archery, predict: JumpingJack
id: 0087, acc: 0.00, label: Archery, predict: JumpingJack
id: 0088, acc: 0.00, label: Archery, predict: JumpingJack
id: 0089, acc: 0.00, label: Archery, predict: Bowling
id: 0090, acc: 0.00, label: Archery, predict: Bowling
id: 0091, acc: 0.00, label: Archery, predict: JumpingJack
id: 0092, acc: 0.00, label: Archery, predict: Bowling
id: 0093, acc: 0.00, label: Archery, predict: JumpingJack
id: 0094, acc: 0.00, label: Archery, predict: JumpingJack
id: 0095, acc: 0.00, label: Archery, predict: JumpingJack
id: 0096, acc: 0.00, label: Archery, predict: Billiards
id: 0097, acc: 0.00, label: Archery, predict: Bowling
id: 0098, acc: 0.00, label: Archery, predict: Billiards
id: 0099, acc: 0.00, label: Archery, predict: Billiards
id: 0100, acc: 0.00, label: Archery, predict: Billiards
id: 0101, acc: 0.00, label: Archery, predict: JumpingJack
id: 0102, acc: 0.00, label: Archery, predict: Billiards
id: 0103, acc: 0.00, label: Archery, predict: JumpingJack
id: 0104, acc: 0.00, label: Archery, predict: Bowling
id: 0105, acc: 0.00, label: Archery, predict: JumpingJack
id: 0106, acc: 0.00, label: Archery, predict: JumpingJack
id: 0107, acc: 0.00, label: Archery, predict: JumpingJack
id: 0108, acc: 0.00, label: Archery, predict: JumpingJack
id: 0109, acc: 0.00, label: Archery, predict: JumpingJack
id: 0110, acc: 0.00, label: Archery, predict: JumpingJack
id: 0111, acc: 0.00, label: Archery, predict: JumpingJack
id: 0112, acc: 0.00, label: Archery, predict: Billiards
id: 0113, acc: 0.00, label: Archery, predict: Billiards
id: 0114, acc: 0.00, label: Archery, predict: JumpingJack
id: 0115, acc: 0.00, label: Archery, predict: JumpingJack
id: 0116, acc: 0.00, label: Archery, predict: JumpingJack
id: 0117, acc: 0.00, label: Archery, predict: Billiards
id: 0118, acc: 0.00, label: BabyCrawling, predict: Billiards
id: 0119, acc: 0.00, label: BabyCrawling, predict: JumpingJack
id: 0120, acc: 0.00, label: BabyCrawling, predict: JumpingJack
id: 0121, acc: 0.00, label: BabyCrawling, predict: Punch
id: 0122, acc: 0.00, label: BabyCrawling, predict: JumpingJack
id: 0123, acc: 0.00, label: BabyCrawling, predict: Billiards
id: 0124, acc: 0.00, label: BabyCrawling, predict: Billiards
id: 0125, acc: 0.00, label: BabyCrawling, predict: Billiards
id: 0126, acc: 0.00, label: BabyCrawling, predict: Billiards
id: 0127, acc: 0.00, label: BabyCrawling, predict: Billiards
id: 0128, acc: 0.00, label: BabyCrawling, predict: JumpingJack
id: 0129, acc: 0.00, label: BabyCrawling, predict: JumpingJack
id: 0130, acc: 0.00, label: BabyCrawling, predict: Bowling
id: 0131, acc: 0.00, label: BabyCrawling, predict: JumpingJack
id: 0132, acc: 0.00, label: BabyCrawling, predict: Billiards
id: 0133, acc: 0.00, label: BabyCrawling, predict: FloorGymnastics
id: 0134, acc: 0.00, label: BabyCrawling, predict: BreastStroke
id: 0135, acc: 0.00, label: BabyCrawling, predict: Punch
id: 0136, acc: 0.00, label: BabyCrawling, predict: Punch
id: 0137, acc: 0.00, label: BabyCrawling, predict: Punch
id: 0138, acc: 0.00, label: BabyCrawling, predict: Punch
id: 0139, acc: 0.00, label: BabyCrawling, predict: Punch
