Framing

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: WallPushups
id: 0002, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0003, acc: 66.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0004, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0005, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0006, acc: 83.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0007, acc: 85.71, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0008, acc: 87.50, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0009, acc: 88.89, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0010, acc: 90.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0011, acc: 90.91, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0012, acc: 91.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0013, acc: 92.31, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0014, acc: 92.86, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0015, acc: 93.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0016, acc: 93.75, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0017, acc: 94.12, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0018, acc: 94.44, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0019, acc: 94.74, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0020, acc: 95.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0021, acc: 95.24, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0022, acc: 95.45, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0023, acc: 95.65, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0024, acc: 95.83, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0025, acc: 96.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0026, acc: 96.15, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0027, acc: 96.30, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0028, acc: 96.43, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0029, acc: 96.55, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0030, acc: 96.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0031, acc: 96.77, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0032, acc: 96.88, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0033, acc: 96.97, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0034, acc: 97.06, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0035, acc: 97.14, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0036, acc: 97.22, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0037, acc: 97.30, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0038, acc: 94.74, label: ApplyEyeMakeup, predict: PlayingFlute
id: 0039, acc: 94.87, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0040, acc: 95.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0041, acc: 95.12, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0042, acc: 95.24, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0043, acc: 95.35, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0044, acc: 95.45, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0045, acc: 95.56, label: ApplyLipstick, predict: ApplyLipstick
id: 0046, acc: 95.65, label: ApplyLipstick, predict: ApplyLipstick
id: 0047, acc: 93.62, label: ApplyLipstick, predict: Haircut
id: 0048, acc: 93.75, label: ApplyLipstick, predict: ApplyLipstick
id: 0049, acc: 93.88, label: ApplyLipstick, predict: ApplyLipstick
id: 0050, acc: 94.00, label: ApplyLipstick, predict: ApplyLipstick
id: 0051, acc: 94.12, label: ApplyLipstick, predict: ApplyLipstick
id: 0052, acc: 94.23, label: ApplyLipstick, predict: ApplyLipstick
id: 0053, acc: 94.34, label: ApplyLipstick, predict: ApplyLipstick
id: 0054, acc: 94.44, label: ApplyLipstick, predict: ApplyLipstick
