One

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: HeadMassage
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: HeadMassage
id: 0003, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0004, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0005, acc: 60.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0006, acc: 66.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0007, acc: 71.43, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0008, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0009, acc: 77.78, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0010, acc: 70.00, label: ApplyEyeMakeup, predict: Drumming
id: 0011, acc: 72.73, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0012, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0013, acc: 76.92, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0014, acc: 78.57, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0015, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0016, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0017, acc: 76.47, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0018, acc: 77.78, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0019, acc: 78.95, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0020, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0021, acc: 80.95, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0022, acc: 81.82, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0023, acc: 82.61, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0024, acc: 83.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0025, acc: 84.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0026, acc: 84.62, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0027, acc: 85.19, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0028, acc: 85.71, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0029, acc: 86.21, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0030, acc: 86.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0031, acc: 87.10, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0032, acc: 87.50, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0033, acc: 84.85, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0034, acc: 85.29, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0035, acc: 85.71, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0036, acc: 83.33, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0037, acc: 81.08, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0038, acc: 78.95, label: ApplyEyeMakeup, predict: PlayingPiano
id: 0039, acc: 76.92, label: ApplyEyeMakeup, predict: PlayingViolin
id: 0040, acc: 77.50, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0041, acc: 78.05, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0042, acc: 78.57, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0043, acc: 79.07, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0044, acc: 79.55, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0045, acc: 80.00, label: ApplyLipstick, predict: ApplyLipstick
id: 0046, acc: 80.43, label: ApplyLipstick, predict: ApplyLipstick
id: 0047, acc: 78.72, label: ApplyLipstick, predict: BlowDryHair
id: 0048, acc: 79.17, label: ApplyLipstick, predict: ApplyLipstick
id: 0049, acc: 79.59, label: ApplyLipstick, predict: ApplyLipstick
id: 0050, acc: 80.00, label: ApplyLipstick, predict: ApplyLipstick
id: 0051, acc: 80.39, label: ApplyLipstick, predict: ApplyLipstick
id: 0052, acc: 80.77, label: ApplyLipstick, predict: ApplyLipstick
id: 0053, acc: 81.13, label: ApplyLipstick, predict: ApplyLipstick
id: 0054, acc: 79.63, label: ApplyLipstick, predict: BenchPress
id: 0055, acc: 80.00, label: ApplyLipstick, predict: ApplyLipstick
id: 0056, acc: 78.57, label: ApplyLipstick, predict: Drumming
id: 0057, acc: 77.19, label: ApplyLipstick, predict: PlayingPiano
id: 0058, acc: 77.59, label: ApplyLipstick, predict: ApplyLipstick
id: 0059, acc: 77.97, label: ApplyLipstick, predict: ApplyLipstick
id: 0060, acc: 78.33, label: ApplyLipstick, predict: ApplyLipstick
id: 0061, acc: 78.69, label: ApplyLipstick, predict: ApplyLipstick
id: 0062, acc: 79.03, label: ApplyLipstick, predict: ApplyLipstick
id: 0063, acc: 79.37, label: ApplyLipstick, predict: ApplyLipstick
id: 0064, acc: 79.69, label: ApplyLipstick, predict: ApplyLipstick
id: 0065, acc: 80.00, label: ApplyLipstick, predict: ApplyLipstick
id: 0066, acc: 80.30, label: ApplyLipstick, predict: ApplyLipstick
id: 0067, acc: 79.10, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0068, acc: 79.41, label: ApplyLipstick, predict: ApplyLipstick
id: 0069, acc: 79.71, label: ApplyLipstick, predict: ApplyLipstick
id: 0070, acc: 80.00, label: ApplyLipstick, predict: ApplyLipstick
id: 0071, acc: 80.28, label: ApplyLipstick, predict: ApplyLipstick
id: 0072, acc: 80.56, label: ApplyLipstick, predict: ApplyLipstick
id: 0073, acc: 80.82, label: ApplyLipstick, predict: ApplyLipstick
id: 0074, acc: 81.08, label: ApplyLipstick, predict: ApplyLipstick
id: 0075, acc: 81.33, label: ApplyLipstick, predict: ApplyLipstick
id: 0076, acc: 81.58, label: ApplyLipstick, predict: ApplyLipstick
id: 0077, acc: 80.52, label: Archery, predict: Hammering
id: 0078, acc: 79.49, label: Archery, predict: ThrowDiscus
id: 0079, acc: 79.75, label: Archery, predict: Archery
id: 0080, acc: 80.00, label: Archery, predict: Archery
id: 0081, acc: 79.01, label: Archery, predict: Nunchucks
id: 0082, acc: 78.05, label: Archery, predict: MilitaryParade
id: 0083, acc: 77.11, label: Archery, predict: Hammering
id: 0084, acc: 76.19, label: Archery, predict: Swing
id: 0085, acc: 75.29, label: Archery, predict: Swing
id: 0086, acc: 74.42, label: Archery, predict: BandMarching
id: 0087, acc: 73.56, label: Archery, predict: BandMarching
id: 0088, acc: 72.73, label: Archery, predict: Swing
id: 0089, acc: 71.91, label: Archery, predict: BandMarching
id: 0090, acc: 71.11, label: Archery, predict: BandMarching
id: 0091, acc: 70.33, label: Archery, predict: GolfSwing
id: 0092, acc: 70.65, label: Archery, predict: Archery
id: 0093, acc: 69.89, label: Archery, predict: RockClimbingIndoor
id: 0094, acc: 69.15, label: Archery, predict: RockClimbingIndoor
id: 0095, acc: 69.47, label: Archery, predict: Archery
id: 0096, acc: 69.79, label: Archery, predict: Archery
id: 0097, acc: 70.10, label: Archery, predict: Archery
id: 0098, acc: 70.41, label: Archery, predict: Archery
id: 0099, acc: 70.71, label: Archery, predict: Archery
id: 0100, acc: 71.00, label: Archery, predict: Archery
id: 0101, acc: 70.30, label: Archery, predict: WritingOnBoard
id: 0102, acc: 69.61, label: Archery, predict: WritingOnBoard
id: 0103, acc: 68.93, label: Archery, predict: WritingOnBoard
id: 0104, acc: 69.23, label: Archery, predict: Archery
id: 0105, acc: 69.52, label: Archery, predict: Archery
id: 0106, acc: 68.87, label: Archery, predict: YoYo
id: 0107, acc: 68.22, label: Archery, predict: Mixing
id: 0108, acc: 67.59, label: Archery, predict: YoYo
id: 0109, acc: 66.97, label: Archery, predict: Haircut
id: 0110, acc: 66.36, label: Archery, predict: PlayingTabla
id: 0111, acc: 65.77, label: Archery, predict: YoYo
id: 0112, acc: 66.07, label: Archery, predict: Archery
id: 0113, acc: 66.37, label: Archery, predict: Archery
id: 0114, acc: 65.79, label: Archery, predict: WritingOnBoard
id: 0115, acc: 65.22, label: Archery, predict: WritingOnBoard
id: 0116, acc: 64.66, label: Archery, predict: HeadMassage
id: 0117, acc: 64.10, label: Archery, predict: PlayingViolin
id: 0118, acc: 63.56, label: BabyCrawling, predict: RockClimbingIndoor
id: 0119, acc: 63.03, label: BabyCrawling, predict: RockClimbingIndoor
id: 0120, acc: 63.33, label: BabyCrawling, predict: BabyCrawling
id: 0121, acc: 63.64, label: BabyCrawling, predict: BabyCrawling
id: 0122, acc: 63.93, label: BabyCrawling, predict: BabyCrawling
id: 0123, acc: 64.23, label: BabyCrawling, predict: BabyCrawling
id: 0124, acc: 64.52, label: BabyCrawling, predict: BabyCrawling
id: 0125, acc: 64.80, label: BabyCrawling, predict: BabyCrawling
id: 0126, acc: 65.08, label: BabyCrawling, predict: BabyCrawling
id: 0127, acc: 64.57, label: BabyCrawling, predict: RockClimbingIndoor
