PGD

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: CuttingInKitchen
id: 0001, acc: 0.00, label: , predict: BlowingCandles
id: 0001, acc: 0.00, label: , predict: CuttingInKitchen
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: Haircut
id: 0002, acc: 0.00, label: , predict: Haircut
id: 0002, acc: 0.00, label: , predict: Haircut
id: 0003, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0003, acc: 33.33, label: , predict: ApplyEyeMakeup
id: 0003, acc: 0.00, label: , predict: ApplyLipstick
id: 0004, acc: 25.00, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0004, acc: 50.00, label: , predict: ApplyEyeMakeup
id: 0004, acc: 0.00, label: , predict: BrushingTeeth
id: 0005, acc: 20.00, label: ApplyEyeMakeup, predict: Typing
id: 0005, acc: 60.00, label: , predict: ApplyEyeMakeup
id: 0005, acc: 0.00, label: , predict: Typing
id: 0006, acc: 16.67, label: ApplyEyeMakeup, predict: HeadMassage
id: 0006, acc: 66.67, label: , predict: ApplyEyeMakeup
id: 0006, acc: 0.00, label: , predict: HeadMassage
id: 0007, acc: 14.29, label: ApplyEyeMakeup, predict: RockClimbingIndoor
id: 0007, acc: 71.43, label: , predict: ApplyEyeMakeup
id: 0007, acc: 0.00, label: , predict: RockClimbingIndoor
id: 0008, acc: 12.50, label: ApplyEyeMakeup, predict: RockClimbingIndoor
id: 0008, acc: 75.00, label: , predict: ApplyEyeMakeup
id: 0008, acc: 0.00, label: , predict: RockClimbingIndoor
id: 0009, acc: 11.11, label: ApplyEyeMakeup, predict: CuttingInKitchen
id: 0009, acc: 77.78, label: , predict: ApplyEyeMakeup
id: 0009, acc: 0.00, label: , predict: CuttingInKitchen
id: 0010, acc: 10.00, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0010, acc: 70.00, label: , predict: BlowDryHair
id: 0010, acc: 0.00, label: , predict: BlowDryHair
id: 0011, acc: 9.09, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0011, acc: 63.64, label: , predict: BrushingTeeth
id: 0011, acc: 0.00, label: , predict: BrushingTeeth
id: 0012, acc: 8.33, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0012, acc: 58.33, label: , predict: BrushingTeeth
id: 0012, acc: 0.00, label: , predict: BrushingTeeth
id: 0013, acc: 7.69, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0013, acc: 61.54, label: , predict: ApplyEyeMakeup
id: 0013, acc: 0.00, label: , predict: BrushingTeeth
id: 0014, acc: 7.14, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0014, acc: 64.29, label: , predict: ApplyEyeMakeup
id: 0014, acc: 0.00, label: , predict: BrushingTeeth
id: 0015, acc: 6.67, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0015, acc: 66.67, label: , predict: ApplyEyeMakeup
id: 0015, acc: 0.00, label: , predict: BrushingTeeth
id: 0016, acc: 6.25, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0016, acc: 62.50, label: , predict: BrushingTeeth
id: 0016, acc: 0.00, label: , predict: BrushingTeeth
id: 0017, acc: 11.76, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0017, acc: 64.71, label: , predict: ApplyEyeMakeup
id: 0017, acc: 0.00, label: , predict: ShavingBeard
id: 0018, acc: 11.11, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0018, acc: 66.67, label: , predict: ApplyEyeMakeup
id: 0018, acc: 5.56, label: , predict: ApplyEyeMakeup
id: 0019, acc: 10.53, label: ApplyEyeMakeup, predict: WritingOnBoard
id: 0019, acc: 63.16, label: , predict: WritingOnBoard
id: 0019, acc: 5.26, label: , predict: WritingOnBoard
id: 0020, acc: 10.00, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0020, acc: 65.00, label: , predict: ApplyEyeMakeup
id: 0020, acc: 5.00, label: , predict: ShavingBeard
id: 0021, acc: 9.52, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0021, acc: 66.67, label: , predict: ApplyEyeMakeup
id: 0021, acc: 4.76, label: , predict: BlowDryHair
id: 0022, acc: 9.09, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0022, acc: 63.64, label: , predict: BlowDryHair
id: 0022, acc: 4.55, label: , predict: BlowDryHair
id: 0023, acc: 8.70, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0023, acc: 60.87, label: , predict: ShavingBeard
id: 0023, acc: 4.35, label: , predict: BrushingTeeth
id: 0024, acc: 8.33, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0024, acc: 62.50, label: , predict: ApplyEyeMakeup
id: 0024, acc: 4.17, label: , predict: ShavingBeard
id: 0025, acc: 8.00, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0025, acc: 64.00, label: , predict: ApplyEyeMakeup
id: 0025, acc: 4.00, label: , predict: BlowDryHair
id: 0026, acc: 11.54, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0026, acc: 65.38, label: , predict: ApplyEyeMakeup
id: 0026, acc: 3.85, label: , predict: BlowDryHair
id: 0027, acc: 14.81, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0027, acc: 66.67, label: , predict: ApplyEyeMakeup
id: 0027, acc: 7.41, label: , predict: ApplyEyeMakeup
id: 0028, acc: 17.86, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0028, acc: 67.86, label: , predict: ApplyEyeMakeup
id: 0028, acc: 10.71, label: , predict: ApplyEyeMakeup
id: 0029, acc: 17.24, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0029, acc: 68.97, label: , predict: ApplyEyeMakeup
id: 0029, acc: 10.34, label: , predict: ShavingBeard
id: 0030, acc: 16.67, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0030, acc: 70.00, label: , predict: ApplyEyeMakeup
id: 0030, acc: 10.00, label: , predict: ShavingBeard
id: 0031, acc: 16.13, label: ApplyEyeMakeup, predict: BoxingSpeedBag
id: 0031, acc: 70.97, label: , predict: ApplyEyeMakeup
id: 0031, acc: 9.68, label: , predict: BoxingSpeedBag
id: 0032, acc: 15.62, label: ApplyEyeMakeup, predict: HeadMassage
id: 0032, acc: 71.88, label: , predict: ApplyEyeMakeup
id: 0032, acc: 9.38, label: , predict: HeadMassage
id: 0033, acc: 15.15, label: ApplyEyeMakeup, predict: HeadMassage
id: 0033, acc: 72.73, label: , predict: ApplyEyeMakeup
id: 0033, acc: 9.09, label: , predict: HeadMassage
id: 0034, acc: 14.71, label: ApplyEyeMakeup, predict: HeadMassage
id: 0034, acc: 73.53, label: , predict: ApplyEyeMakeup
id: 0034, acc: 8.82, label: , predict: HeadMassage
id: 0035, acc: 14.29, label: ApplyEyeMakeup, predict: Rafting
id: 0035, acc: 74.29, label: , predict: ApplyEyeMakeup
id: 0035, acc: 8.57, label: , predict: Rafting
id: 0036, acc: 16.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0036, acc: 75.00, label: , predict: ApplyEyeMakeup
id: 0036, acc: 8.33, label: , predict: RockClimbingIndoor
