One

One

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: Haircut
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: Typing
id: 0003, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0004, acc: 25.00, label: ApplyEyeMakeup, predict: Typing
id: 0005, acc: 40.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0006, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0007, acc: 42.86, label: ApplyEyeMakeup, predict: CliffDiving
id: 0008, acc: 37.50, label: ApplyEyeMakeup, predict: CliffDiving
id: 0009, acc: 33.33, label: ApplyEyeMakeup, predict: CliffDiving
id: 0010, acc: 30.00, label: ApplyEyeMakeup, predict: Haircut
id: 0011, acc: 36.36, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0012, acc: 33.33, label: ApplyEyeMakeup, predict: CliffDiving
id: 0013, acc: 38.46, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0014, acc: 42.86, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0015, acc: 46.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0016, acc: 43.75, label: ApplyEyeMakeup, predict: CliffDiving
id: 0017, acc: 47.06, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0018, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0019, acc: 47.37, label: ApplyEyeMakeup, predict: WallPushups
id: 0020, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0021, acc: 47.62, label: ApplyEyeMakeup, predict: CliffDiving
id: 0022, acc: 45.45, label: ApplyEyeMakeup, predict: CliffDiving
id: 0023, acc: 47.83, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0024, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0025, acc: 52.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0026, acc: 50.00, label: ApplyEyeMakeup, predict: Haircut
id: 0027, acc: 48.15, label: ApplyEyeMakeup, predict: Haircut
id: 0028, acc: 46.43, label: ApplyEyeMakeup, predict: Typing
id: 0029, acc: 48.28, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0030, acc: 46.67, label: ApplyEyeMakeup, predict: Haircut
id: 0031, acc: 48.39, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0032, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0033, acc: 48.48, label: ApplyEyeMakeup, predict: Surfing
id: 0034, acc: 47.06, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0035, acc: 48.57, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0036, acc: 47.22, label: ApplyEyeMakeup, predict: CliffDiving
id: 0037, acc: 45.95, label: ApplyEyeMakeup, predict: CliffDiving
id: 0038, acc: 44.74, label: ApplyEyeMakeup, predict: BasketballDunk
id: 0039, acc: 43.59, label: ApplyEyeMakeup, predict: CliffDiving
id: 0040, acc: 45.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0041, acc: 46.34, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0042, acc: 47.62, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0043, acc: 46.51, label: ApplyEyeMakeup, predict: Haircut
