Framing

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: PlayingDaf
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: PlayingDaf
id: 0003, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0004, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0005, acc: 60.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0006, acc: 66.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0007, acc: 71.43, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0008, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0009, acc: 77.78, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0010, acc: 70.00, label: ApplyEyeMakeup, predict: Haircut
id: 0011, acc: 72.73, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0012, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0013, acc: 76.92, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0014, acc: 78.57, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0015, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0016, acc: 81.25, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0017, acc: 82.35, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0018, acc: 83.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0019, acc: 78.95, label: ApplyEyeMakeup, predict: WritingOnBoard
id: 0020, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0021, acc: 80.95, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0022, acc: 81.82, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0023, acc: 82.61, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0024, acc: 83.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0025, acc: 84.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0026, acc: 84.62, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0027, acc: 85.19, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0028, acc: 85.71, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0029, acc: 86.21, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0030, acc: 86.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0031, acc: 87.10, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0032, acc: 87.50, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0033, acc: 84.85, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0034, acc: 85.29, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0035, acc: 85.71, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0036, acc: 86.11, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0037, acc: 86.49, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0038, acc: 84.21, label: ApplyEyeMakeup, predict: PullUps
id: 0039, acc: 82.05, label: ApplyEyeMakeup, predict: PlayingFlute
id: 0040, acc: 82.50, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0041, acc: 82.93, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0042, acc: 83.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0043, acc: 81.40, label: ApplyEyeMakeup, predict: Knitting
id: 0044, acc: 79.55, label: ApplyEyeMakeup, predict: Knitting
id: 0045, acc: 77.78, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0046, acc: 76.09, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0047, acc: 74.47, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0048, acc: 72.92, label: ApplyLipstick, predict: ShavingBeard
id: 0049, acc: 73.47, label: ApplyLipstick, predict: ApplyLipstick
id: 0050, acc: 72.00, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0051, acc: 70.59, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0052, acc: 69.23, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0053, acc: 67.92, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0054, acc: 66.67, label: ApplyLipstick, predict: ShavingBeard
id: 0055, acc: 65.45, label: ApplyLipstick, predict: BabyCrawling
id: 0056, acc: 64.29, label: ApplyLipstick, predict: RockClimbingIndoor
id: 0057, acc: 63.16, label: ApplyLipstick, predict: BalanceBeam
id: 0058, acc: 62.07, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0059, acc: 61.02, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0060, acc: 61.67, label: ApplyLipstick, predict: ApplyLipstick
id: 0061, acc: 62.30, label: ApplyLipstick, predict: ApplyLipstick
id: 0062, acc: 61.29, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0063, acc: 60.32, label: ApplyLipstick, predict: BrushingTeeth
id: 0064, acc: 59.38, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0065, acc: 58.46, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0066, acc: 57.58, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0067, acc: 56.72, label: ApplyLipstick, predict: BrushingTeeth
id: 0068, acc: 55.88, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0069, acc: 55.07, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0070, acc: 55.71, label: ApplyLipstick, predict: ApplyLipstick
id: 0071, acc: 54.93, label: ApplyLipstick, predict: BrushingTeeth
id: 0072, acc: 55.56, label: ApplyLipstick, predict: ApplyLipstick
id: 0073, acc: 54.79, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0074, acc: 54.05, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0075, acc: 53.33, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0076, acc: 52.63, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0077, acc: 51.95, label: Archery, predict: Hammering
id: 0078, acc: 51.28, label: Archery, predict: FrontCrawl
id: 0079, acc: 50.63, label: Archery, predict: WritingOnBoard
id: 0080, acc: 50.00, label: Archery, predict: WritingOnBoard
id: 0081, acc: 49.38, label: Archery, predict: Rowing
id: 0082, acc: 48.78, label: Archery, predict: Rowing
id: 0083, acc: 48.19, label: Archery, predict: Hammering
id: 0084, acc: 47.62, label: Archery, predict: Hammering
id: 0085, acc: 47.06, label: Archery, predict: Hammering
id: 0086, acc: 46.51, label: Archery, predict: Hammering
id: 0087, acc: 45.98, label: Archery, predict: Hammering
id: 0088, acc: 45.45, label: Archery, predict: Hammering
id: 0089, acc: 44.94, label: Archery, predict: Hammering
id: 0090, acc: 44.44, label: Archery, predict: Hammering
id: 0091, acc: 43.96, label: Archery, predict: GolfSwing
id: 0092, acc: 43.48, label: Archery, predict: WritingOnBoard
id: 0093, acc: 43.01, label: Archery, predict: RockClimbingIndoor
id: 0094, acc: 42.55, label: Archery, predict: CliffDiving
id: 0095, acc: 42.11, label: Archery, predict: RockClimbingIndoor
id: 0096, acc: 42.71, label: Archery, predict: Archery
id: 0097, acc: 43.30, label: Archery, predict: Archery
id: 0098, acc: 43.88, label: Archery, predict: Archery
id: 0099, acc: 44.44, label: Archery, predict: Archery
id: 0100, acc: 44.00, label: Archery, predict: PizzaTossing
id: 0101, acc: 43.56, label: Archery, predict: Rowing
id: 0102, acc: 43.14, label: Archery, predict: Rowing
id: 0103, acc: 42.72, label: Archery, predict: Rowing
id: 0104, acc: 42.31, label: Archery, predict: Skiing
id: 0105, acc: 41.90, label: Archery, predict: Kayaking
id: 0106, acc: 41.51, label: Archery, predict: Lunges
id: 0107, acc: 41.12, label: Archery, predict: Haircut
id: 0108, acc: 40.74, label: Archery, predict: Lunges
id: 0109, acc: 40.37, label: Archery, predict: WritingOnBoard
id: 0110, acc: 40.00, label: Archery, predict: YoYo
id: 0111, acc: 39.64, label: Archery, predict: YoYo
id: 0112, acc: 39.29, label: Archery, predict: PlayingViolin
id: 0113, acc: 39.82, label: Archery, predict: Archery
id: 0114, acc: 39.47, label: Archery, predict: SkyDiving
id: 0115, acc: 39.13, label: Archery, predict: SkyDiving
id: 0116, acc: 38.79, label: Archery, predict: SkyDiving
id: 0117, acc: 38.46, label: Archery, predict: BabyCrawling
id: 0118, acc: 38.98, label: BabyCrawling, predict: BabyCrawling
id: 0119, acc: 39.50, label: BabyCrawling, predict: BabyCrawling
id: 0120, acc: 40.00, label: BabyCrawling, predict: BabyCrawling
id: 0121, acc: 40.50, label: BabyCrawling, predict: BabyCrawling
id: 0122, acc: 40.98, label: BabyCrawling, predict: BabyCrawling
id: 0123, acc: 41.46, label: BabyCrawling, predict: BabyCrawling
id: 0124, acc: 41.94, label: BabyCrawling, predict: BabyCrawling
id: 0125, acc: 42.40, label: BabyCrawling, predict: BabyCrawling
id: 0126, acc: 42.86, label: BabyCrawling, predict: BabyCrawling
id: 0127, acc: 43.31, label: BabyCrawling, predict: BabyCrawling
id: 0128, acc: 43.75, label: BabyCrawling, predict: BabyCrawling
id: 0129, acc: 44.19, label: BabyCrawling, predict: BabyCrawling
id: 0130, acc: 43.85, label: BabyCrawling, predict: Knitting
id: 0131, acc: 43.51, label: BabyCrawling, predict: CuttingInKitchen
id: 0132, acc: 43.94, label: BabyCrawling, predict: BabyCrawling
id: 0133, acc: 44.36, label: BabyCrawling, predict: BabyCrawling
id: 0134, acc: 44.78, label: BabyCrawling, predict: BabyCrawling
id: 0135, acc: 45.19, label: BabyCrawling, predict: BabyCrawling
id: 0136, acc: 45.59, label: BabyCrawling, predict: BabyCrawling
id: 0137, acc: 45.26, label: BabyCrawling, predict: PushUps
id: 0138, acc: 44.93, label: BabyCrawling, predict: PushUps
id: 0139, acc: 44.60, label: BabyCrawling, predict: PushUps
id: 0140, acc: 44.29, label: BabyCrawling, predict: RockClimbingIndoor
id: 0141, acc: 43.97, label: BabyCrawling, predict: HandstandPushups
id: 0142, acc: 43.66, label: BabyCrawling, predict: Bowling
id: 0143, acc: 43.36, label: BabyCrawling, predict: FrontCrawl
id: 0144, acc: 43.06, label: BabyCrawling, predict: FrontCrawl
id: 0145, acc: 42.76, label: BabyCrawling, predict: FrontCrawl
id: 0146, acc: 42.47, label: BabyCrawling, predict: FrontCrawl
id: 0147, acc: 42.18, label: BabyCrawling, predict: PlayingDaf
id: 0148, acc: 41.89, label: BabyCrawling, predict: Knitting
id: 0149, acc: 42.28, label: BabyCrawling, predict: BabyCrawling
id: 0150, acc: 42.67, label: BabyCrawling, predict: BabyCrawling
id: 0151, acc: 42.38, label: BabyCrawling, predict: Rowing
id: 0152, acc: 42.76, label: BabyCrawling, predict: BabyCrawling
id: 0153, acc: 42.48, label: BalanceBeam, predict: RopeClimbing
id: 0154, acc: 42.21, label: BalanceBeam, predict: Diving
id: 0155, acc: 41.94, label: BalanceBeam, predict: RockClimbingIndoor
id: 0156, acc: 42.31, label: BalanceBeam, predict: BalanceBeam
id: 0157, acc: 42.68, label: BalanceBeam, predict: BalanceBeam
id: 0158, acc: 43.04, label: BalanceBeam, predict: BalanceBeam
id: 0159, acc: 43.40, label: BalanceBeam, predict: BalanceBeam
id: 0160, acc: 43.75, label: BalanceBeam, predict: BalanceBeam
id: 0161, acc: 43.48, label: BalanceBeam, predict: FloorGymnastics
id: 0162, acc: 43.21, label: BalanceBeam, predict: FloorGymnastics
id: 0163, acc: 42.94, label: BalanceBeam, predict: FloorGymnastics
id: 0164, acc: 42.68, label: BalanceBeam, predict: TennisSwing
