Clean

Clean

Clean

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: Haircut
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: Haircut
id: 0003, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0004, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0005, acc: 60.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0006, acc: 66.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0007, acc: 71.43, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0008, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0009, acc: 77.78, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0010, acc: 70.00, label: ApplyEyeMakeup, predict: BlowDryHair
id: 0011, acc: 72.73, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0012, acc: 66.67, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0013, acc: 69.23, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0014, acc: 71.43, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0015, acc: 73.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0016, acc: 68.75, label: ApplyEyeMakeup, predict: BrushingTeeth
id: 0017, acc: 70.59, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0018, acc: 72.22, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0019, acc: 68.42, label: ApplyEyeMakeup, predict: WritingOnBoard
id: 0020, acc: 70.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0021, acc: 71.43, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0022, acc: 72.73, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0023, acc: 73.91, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0024, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0025, acc: 76.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0026, acc: 76.92, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0027, acc: 77.78, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0028, acc: 78.57, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0029, acc: 79.31, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0030, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0031, acc: 80.65, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0032, acc: 81.25, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0033, acc: 81.82, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0034, acc: 82.35, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0035, acc: 82.86, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0036, acc: 83.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0037, acc: 83.78, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0038, acc: 84.21, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0039, acc: 84.62, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0040, acc: 85.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0041, acc: 85.37, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0042, acc: 85.71, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0043, acc: 86.05, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0044, acc: 86.36, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0045, acc: 84.44, label: ApplyLipstick, predict: ShavingBeard
id: 0046, acc: 82.61, label: ApplyLipstick, predict: ShavingBeard
id: 0047, acc: 80.85, label: ApplyLipstick, predict: ShavingBeard
id: 0048, acc: 79.17, label: ApplyLipstick, predict: BrushingTeeth
id: 0049, acc: 77.55, label: ApplyLipstick, predict: BrushingTeeth
id: 0050, acc: 76.00, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0051, acc: 74.51, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0052, acc: 73.08, label: ApplyLipstick, predict: ApplyEyeMakeup
id: 0053, acc: 71.70, label: ApplyLipstick, predict: ShavingBeard
id: 0054, acc: 70.37, label: ApplyLipstick, predict: BrushingTeeth
id: 0055, acc: 69.09, label: ApplyLipstick, predict: BrushingTeeth
id: 0056, acc: 67.86, label: ApplyLipstick, predict: BrushingTeeth
id: 0057, acc: 66.67, label: ApplyLipstick, predict: BrushingTeeth
id: 0058, acc: 65.52, label: ApplyLipstick, predict: BrushingTeeth
id: 0059, acc: 64.41, label: ApplyLipstick, predict: BrushingTeeth
id: 0060, acc: 63.33, label: ApplyLipstick, predict: BrushingTeeth
id: 0061, acc: 62.30, label: ApplyLipstick, predict: BrushingTeeth
id: 0062, acc: 61.29, label: ApplyLipstick, predict: BrushingTeeth
id: 0063, acc: 60.32, label: ApplyLipstick, predict: BrushingTeeth
id: 0064, acc: 59.38, label: ApplyLipstick, predict: ShavingBeard
id: 0065, acc: 58.46, label: ApplyLipstick, predict: ShavingBeard
id: 0066, acc: 57.58, label: ApplyLipstick, predict: BrushingTeeth
id: 0067, acc: 56.72, label: ApplyLipstick, predict: BrushingTeeth
id: 0068, acc: 55.88, label: ApplyLipstick, predict: BrushingTeeth
id: 0069, acc: 55.07, label: ApplyLipstick, predict: BrushingTeeth
id: 0070, acc: 54.29, label: ApplyLipstick, predict: BrushingTeeth
id: 0071, acc: 53.52, label: ApplyLipstick, predict: BrushingTeeth
id: 0072, acc: 52.78, label: ApplyLipstick, predict: BrushingTeeth
id: 0073, acc: 52.05, label: ApplyLipstick, predict: BrushingTeeth
id: 0074, acc: 51.35, label: ApplyLipstick, predict: BrushingTeeth
id: 0075, acc: 50.67, label: ApplyLipstick, predict: BrushingTeeth
id: 0076, acc: 50.00, label: ApplyLipstick, predict: BrushingTeeth
id: 0077, acc: 50.65, label: Archery, predict: Archery
id: 0078, acc: 51.28, label: Archery, predict: Archery
id: 0079, acc: 51.90, label: Archery, predict: Archery
id: 0080, acc: 52.50, label: Archery, predict: Archery
id: 0081, acc: 53.09, label: Archery, predict: Archery
